InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
63862c31-81f9-459d-8f4d-c68e8a6b95cd,IN-F100000,CID-001,4e95828b-2295-4fbf-a142-c99b8231960e,2025-01-29,2025-01-29,899.98,78.75,978.73,Issued,SampleGen
c0f73bfa-32d8-40f3-b677-76ae7334765f,IN-F100001,CID-001,abcf25da-38ab-40b2-8183-9330627b972d,2025-02-20,2025-02-20,1529.93,133.86,1663.79,Issued,SampleGen
5a9ce639-2de8-4054-966c-4c0b34665f37,IN-F100002,CID-001,8309dd48-761a-442b-8554-664bc5e1ed1d,2025-03-13,2025-03-13,2459.93,215.25,2675.18,Issued,SampleGen
3cc12233-e454-421d-bf04-68b2994b9ad4,IN-F100003,CID-001,347f2ab7-29f0-4774-b40e-4782d864aeb3,2025-04-25,2025-04-25,349.97,30.62,380.59,Issued,SampleGen
ffe89d4c-37de-4fb3-89b1-87f87002f29a,IN-F100004,CID-001,ee1a4abb-5c4f-4594-b206-6f5328fe8542,2025-05-05,2025-05-05,764.94,66.93,831.87,Issued,SampleGen
72366213-4a25-403e-905e-86a8fa0ec95e,IN-F100005,CID-001,36713ffd-77e8-4c73-93f3-78fbd5c48c17,2025-06-18,2025-06-18,1559.96,136.5,1696.46,Issued,SampleGen
937c4df1-7f05-46ab-a173-f0f821d6aa21,IN-F100006,CID-001,478e3299-08fd-4dad-b288-65f7c77d3b4c,2025-07-20,2025-07-20,954.92,83.56,1038.48,Issued,SampleGen
9ab8847a-6dcd-4773-9cd5-50027f269681,IN-F100007,CID-001,c0faaaf9-8035-4956-9619-d676c4194526,2025-08-04,2025-08-04,179.98,15.75,195.73,Issued,SampleGen
caad5aa3-fbb2-4f55-ab3f-d9f794d18b8d,IN-F100008,CID-001,faf48d53-2274-4d02-bf63-c87052839747,2025-09-19,2025-09-19,2219.93,194.25,2414.18,Issued,SampleGen
22013997-52f8-43cd-b6b4-28510b9bc1ff,IN-F100009,CID-001,b408043c-1dc1-458e-b500-4c6f64ec21ce,2025-10-12,2025-10-12,239.97,21.0,260.97,Issued,SampleGen
5d847b16-c076-4f9c-9992-e458b5314887,IN-F100010,CID-001,7700a97a-83c3-4272-ab83-b6862a39596d,2025-11-13,2025-11-13,899.98,78.75,978.73,Issued,SampleGen
fdccc7da-7608-490c-b1eb-ebd742f8205c,IN-F100011,CID-001,eaef9930-377b-40f1-8624-58751d1ad6ff,2025-12-10,2025-12-10,329.99,28.87,358.86,Issued,SampleGen
1274ab91-6e74-4080-9bed-56fbacb0a553,IN-F100012,CID-001,0b94c89b-7742-475a-b9b3-56930e40f9e0,2025-12-15,2025-12-15,224.98,19.68,244.66,Issued,SampleGen
d12ea1a8-f8ca-4ef6-a5b4-1e119519909b,IN-F100013,CID-001,1216948f-18ce-4aa2-bf22-62da5e2f2ed1,2026-01-03,2026-01-03,759.95,66.49,826.44,Issued,SampleGen
951ed90e-7f98-43c4-a213-93532ed40af4,IN-F100014,CID-001,faf60809-11c5-41d6-86f5-2daf6246b8cb,2026-02-09,2026-02-09,89.99,7.87,97.86,Issued,SampleGen
e0d82b6f-2dfe-4f4b-a6a2-44f3b3a41816,IN-F100015,CID-001,54a82978-3262-4934-a966-df5ea5328e30,2026-03-12,2026-03-12,269.97,23.62,293.59,Issued,SampleGen
d8bc8490-1b2d-4a67-ad69-4d1cafe8858e,IN-F100016,CID-002,1ecff83b-0589-4286-99a7-bcc20b4d7714,2025-01-19,2025-01-19,449.99,39.37,489.36,Issued,SampleGen
2cc5d418-5225-409a-ab4e-74b79f773cd6,IN-F100017,CID-002,1fb48f06-8c83-457e-b84d-1c3c3508e6cb,2025-02-22,2025-02-22,319.98,28.0,347.98,Issued,SampleGen
8511999d-d6f4-4aca-962d-8115e89b2238,IN-F100018,CID-002,1ff372ac-665a-4485-a79c-4b0e52f5edbb,2025-03-31,2025-03-31,529.97,46.37,576.34,Issued,SampleGen
75e60a8f-3eb8-483f-a9cc-66e506b0cdd8,IN-F100019,CID-002,4211ccd7-d952-4ef7-9dc6-89ad7e05639a,2025-04-07,2025-04-07,839.96,73.5,913.46,Issued,SampleGen
c758f03b-f79f-4f7d-ab3d-d97d4a682f31,IN-F100020,CID-002,3ace43a5-86cf-4566-884c-2e2cad73e115,2025-05-31,2025-05-31,609.95,53.37,663.32,Issued,SampleGen
f6ba98a2-eb32-42ba-8f8f-77421a5efa03,IN-F100021,CID-002,e3d5f6d5-b897-40ce-95bd-c6634fc8d649,2025-06-21,2025-06-21,2329.94,203.87,2533.81,Issued,SampleGen
cb26094e-f34d-4e1f-a67d-83d89ae035b5,IN-F100022,CID-002,53375788-ef23-4cbc-9a43-fc8744317efe,2025-07-15,2025-07-15,1394.92,122.06,1516.98,Issued,SampleGen
70fb68a2-1d19-4306-9c86-a5dd0e9d0c52,IN-F100023,CID-002,4d509fc8-514d-4d1d-b548-7dffd018ea33,2025-08-05,2025-08-05,559.97,48.99,608.96,Issued,SampleGen
fe5c9ca8-f46e-45a0-b56d-7b81dc77dd1c,IN-F100024,CID-002,629dc098-5e90-468c-a66d-37923d3a9722,2025-09-23,2025-09-23,1949.9,170.61,2120.51,Issued,SampleGen
95ca0324-0123-409c-a65b-624c5c7563cd,IN-F100025,CID-002,eb32ab9c-529a-4c22-ab74-58d2707f3370,2025-10-07,2025-10-07,839.97,73.5,913.47,Issued,SampleGen
469d5ada-d533-4d60-aec9-3797635abc3c,IN-F100026,CID-002,5968cae8-3a70-4e3b-adf7-d4dcc9ea45d7,2025-11-15,2025-11-15,674.94,59.06,734.0,Issued,SampleGen
d560080c-0031-41c8-80be-ae8deb7e0017,IN-F100027,CID-002,0d33c4b6-a13c-4c8c-b2a6-f6012f87d1cd,2025-12-15,2025-12-15,1389.93,121.62,1511.55,Issued,SampleGen
7d792bc5-c51e-4f62-86e2-7e683ccf2f2d,IN-F100028,CID-002,de9e353f-ec3c-4ec5-a58e-d0ecfb11305d,2026-01-18,2026-01-18,439.98,38.5,478.48,Issued,SampleGen
844bcc3f-9ca3-40a7-8c60-4e45dabfaed3,IN-F100029,CID-002,adc56def-97fb-44f6-9463-1841dc80710e,2026-02-28,2026-02-28,629.96,55.12,685.08,Issued,SampleGen
1292138f-1eaf-44fc-b538-3d7493af0f95,IN-F100030,CID-002,2f70793e-e8b1-4b6b-92fa-ead92c58b3c5,2026-04-01,2026-04-01,1299.94,113.74,1413.68,Issued,SampleGen
864f40b0-c71a-4f4d-ac78-b390523746c6,IN-F100031,CID-003,f8396690-c165-4b8b-8e72-f44314a9c8a4,2025-01-03,2025-01-03,539.96,47.25,587.21,Issued,SampleGen
