OrderId,SalesChannelId,OrderNumber,CustomerId,CustomerAccountId,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
0a69cf61-feab-426f-b66e-e5625d82b7f4,Fabric,F100000,CID-001,CA-0001,2025-01-20,Shipped,179.98,15.75,195.73,MC,USD,SampleGen
f9cb7c4c-6a0a-4abe-81b6-ef8974403d4e,Fabric,F100001,CID-001,CA-0001,2025-02-11,Completed,439.98,38.5,478.48,MC,USD,SampleGen
072d8bc3-7316-4f0c-a0ce-9e51fb614135,Fabric,F100002,CID-001,CA-0001,2025-03-23,Completed,1659.94,145.24,1805.18,PayPal,USD,SampleGen
229f1bbb-e0ad-4bc3-9bad-98b5eb6174ac,Fabric,F100003,CID-001,CA-0001,2025-04-09,Completed,739.96,64.75,804.71,VISA,USD,SampleGen
426df6e8-99f9-4521-9efb-5570f7b3e098,Fabric,F100004,CID-001,CA-0001,2025-05-04,Completed,379.98,33.25,413.23,MC,USD,SampleGen
3e2c91ff-1c27-411a-9b1b-71221746a8b0,Fabric,F100005,CID-001,CA-0001,2025-06-28,Shipped,424.96,37.18,462.14,MC,USD,SampleGen
d8d508d8-99c2-40af-9e59-6178bc4c9ef7,Fabric,F100006,CID-001,CA-0001,2025-07-03,Pending,639.96,55.99,695.95,Discover,USD,SampleGen
5fb612ec-bfe4-46e1-8ca0-4db57e5c515b,Fabric,F100007,CID-001,CA-0001,2025-08-14,Completed,1509.95,132.12,1642.07,MC,USD,SampleGen
eb9c58db-1dac-44da-bf87-6cc012636f42,Fabric,F100008,CID-001,CA-0001,2025-09-24,Completed,989.93,86.62,1076.55,VISA,USD,SampleGen
d4b50577-65f5-4bc9-b5ed-82ea19565c9b,Fabric,F100009,CID-001,CA-0001,2025-10-27,Completed,584.93,51.17,636.1,Discover,USD,SampleGen
125cddeb-0045-48dd-9c50-2bfbefd017b4,Fabric,F100010,CID-001,CA-0001,2025-11-12,Completed,769.94,67.36,837.3,Discover,USD,SampleGen
6c041666-cfe4-4a52-bea0-c1dc294405c3,Fabric,F100011,CID-001,CA-0001,2025-12-03,Completed,1034.95,90.55,1125.5,AmEx,USD,SampleGen
e0a864e8-6460-4f2c-911d-69e719aab8be,Fabric,F100012,CID-001,CA-0001,2025-12-26,Completed,969.92,84.86,1054.78,VISA,USD,SampleGen
ecf72aa2-0fb2-4f1e-95cc-e28a79e28466,Fabric,F100013,CID-001,CA-0001,2025-12-30,Completed,2429.9,212.61,2642.51,VISA,USD,SampleGen
1a642ca3-1d9c-445a-9883-f36157472852,Fabric,F100014,CID-001,CA-0001,2026-01-28,Completed,504.97,44.19,549.16,Discover,USD,SampleGen
17ce7425-0604-41d6-abe8-d1c2ffd2c672,Fabric,F100015,CID-001,CA-0001,2026-02-15,Completed,1019.94,89.24,1109.18,MC,USD,SampleGen
3f031360-a926-4b58-8792-f86846c660b1,Fabric,F100016,CID-001,CA-0001,2026-02-15,Completed,919.94,80.49,1000.43,Discover,USD,SampleGen
1ecbacdf-cf85-41c8-bac0-335385a60153,Fabric,F100017,CID-001,CA-0001,2026-03-10,Shipped,2419.89,211.74,2631.63,MC,USD,SampleGen
50de9922-7563-499d-812b-f7e9f6933fdc,Fabric,F100018,CID-001,CA-0001,2026-03-28,Cancelled,2219.92,194.24,2414.16,VISA,USD,SampleGen
bd07a058-3c6d-46fd-96f0-39443d49e098,Fabric,F100019,CID-002,CA-0003,2025-01-05,Completed,729.92,63.86,793.78,Discover,USD,SampleGen
f1d57f22-54d6-47ab-844a-c889fe9ba102,Fabric,F100020,CID-002,CA-0003,2025-02-20,Completed,269.97,23.62,293.59,VISA,USD,SampleGen
e4ce1445-0482-422b-942c-5750568039c5,Fabric,F100021,CID-002,CA-0003,2025-03-17,Completed,329.96,28.87,358.83,VISA,USD,SampleGen
c3d0ca4b-c537-41f8-988c-112f8388552a,Fabric,F100022,CID-002,CA-0003,2025-04-10,Completed,909.94,79.61,989.55,PayPal,USD,SampleGen
4f6d6468-8f75-4441-b395-6a4422743f6a,Fabric,F100023,CID-002,CA-0003,2025-05-09,Completed,2339.93,204.74,2544.67,VISA,USD,SampleGen
ec10baab-d36e-4d70-b9b7-d90e162b8832,Fabric,F100024,CID-002,CA-0003,2025-06-08,Completed,1409.93,123.37,1533.3,AmEx,USD,SampleGen
00adeb4b-2e70-418e-9449-4b7f94edc88c,Fabric,F100025,CID-002,CA-0003,2025-07-28,Completed,1229.94,107.62,1337.56,MC,USD,SampleGen
780507b6-2fb3-40b1-8de5-3283b7a668b6,Fabric,F100026,CID-002,CA-0003,2025-08-21,Completed,1154.92,101.06,1255.98,MC,USD,SampleGen
2b245a0a-22c0-4ffd-9004-bee10372f43f,Fabric,F100027,CID-002,CA-0003,2025-09-12,Shipped,509.97,44.62,554.59,MC,USD,SampleGen
95ef6284-a15c-4705-b855-ec5280d273dc,Fabric,F100028,CID-002,CA-0003,2025-10-21,Pending,169.98,14.87,184.85,MC,USD,SampleGen
0dc665f6-802f-4700-a25a-064668f2067e,Fabric,F100029,CID-002,CA-0003,2025-11-09,Completed,1549.94,135.62,1685.56,AmEx,USD,SampleGen
3b328054-1494-4938-a150-8b0c28a9e793,Fabric,F100030,CID-002,CA-0003,2025-12-25,Completed,339.98,29.74,369.72,Discover,USD,SampleGen
c646afb0-3407-42de-bd1c-d110d5a784f3,Fabric,F100031,CID-002,CA-0003,2026-01-06,Completed,879.93,76.99,956.92,MC,USD,SampleGen
fabdc13b-5754-4a4a-a314-41424f4d667e,Fabric,F100032,CID-002,CA-0003,2026-02-20,Completed,489.97,42.87,532.84,AmEx,USD,SampleGen
869da6d1-8761-4c1e-945c-c75d85323d0e,Fabric,F100033,CID-002,CA-0003,2026-03-10,Completed,1689.95,147.87,1837.82,VISA,USD,SampleGen
0a317d1a-2a5d-43f3-8aea-a9aa35c95ff1,Fabric,F100034,CID-003,CA-0005,2025-01-27,Completed,179.98,15.75,195.73,VISA,USD,SampleGen
722f67c7-01fc-49e4-b832-112206845341,Fabric,F100035,CID-003,CA-0005,2025-02-06,Completed,849.95,74.37,924.32,AmEx,USD,SampleGen
a9ac4409-09e4-42e9-a591-2e123f40e907,Fabric,F100036,CID-003,CA-0005,2025-03-18,Shipped,869.95,76.12,946.07,VISA,USD,SampleGen
5259fdac-8000-4706-9bd4-66cb991c44b4,Fabric,F100037,CID-003,CA-0005,2025-04-23,Completed,269.97,23.62,293.59,PayPal,USD,SampleGen
67e1a76f-ad3f-47b4-ad61-8ca3803e23de,Fabric,F100038,CID-003,CA-0005,2025-05-24,Completed,390.98,34.21,425.19,MC,USD,SampleGen
b65e3403-d982-4b16-baef-76a8b767b4a6,Fabric,F100039,CID-003,CA-0005,2025-06-19,Cancelled,919.94,80.49,1000.43,VISA,USD,SampleGen
4b03731a-81b1-48ed-ae54-bc5153a1ed1d,Fabric,F100040,CID-003,CA-0005,2025-07-24,Completed,414.96,36.3,451.26,MC,USD,SampleGen
d6dde44e-c0ee-4898-acd0-1d00dee1847d,Fabric,F100041,CID-003,CA-0005,2025-08-12,Shipped,1679.94,146.99,1826.93,VISA,USD,SampleGen
fab95453-0b0a-46f2-9763-211a7ead212f,Fabric,F100042,CID-003,CA-0005,2025-09-20,Completed,494.94,43.3,538.24,MC,USD,SampleGen
7eb90b23-906c-4fee-9451-6179fea4dc3e,Fabric,F100043,CID-003,CA-0005,2025-10-28,Completed,1889.88,165.36,2055.24,MC,USD,SampleGen
fb972662-941f-445c-9154-1c7fa4bef10e,Fabric,F100044,CID-003,CA-0005,2025-11-10,Completed,179.99,15.75,195.74,Discover,USD,SampleGen
403f7eed-30a1-41ee-b395-b1b8eb324f58,Fabric,F100045,CID-003,CA-0005,2025-12-25,Completed,539.97,47.25,587.22,VISA,USD,SampleGen
da9a73bb-caf2-4749-9f14-1e9386829d22,Fabric,F100046,CID-003,CA-0005,2026-01-04,Cancelled,369.97,32.37,402.34,MC,USD,SampleGen
47e83fd0-5528-4f9c-8e2a-29bd84501b9c,Fabric,F100047,CID-003,CA-0005,2026-02-26,Completed,429.97,37.62,467.59,Discover,USD,SampleGen
534233b4-8991-4efd-a365-03bf3067661b,Fabric,F100048,CID-003,CA-0005,2026-03-20,Pending,1139.92,99.74,1239.66,AmEx,USD,SampleGen
a22c739b-e5d7-4ecb-aed3-4029b705bf94,Fabric,F100049,CID-004,CA-0007,2025-01-28,Shipped,549.98,48.12,598.1,VISA,USD,SampleGen
99017979-8717-4bc7-b3d8-f00050fd6750,Fabric,F100050,CID-004,CA-0007,2025-02-09,Completed,509.97,44.62,554.59,MC,USD,SampleGen
3c37eaa5-17fa-46d0-abff-674d48c5d330,Fabric,F100051,CID-004,CA-0007,2025-03-20,Completed,239.97,21.0,260.97,MC,USD,SampleGen
c7513ef9-58e6-43a9-befc-0b2dd1e6856b,Fabric,F100052,CID-004,CA-0007,2025-04-03,Completed,1189.91,104.11,1294.02,MC,USD,SampleGen
db61e502-a626-433b-a768-7b176d203f1e,Fabric,F100053,CID-004,CA-0007,2025-05-21,Shipped,389.97,34.12,424.09,AmEx,USD,SampleGen
48157c9a-a825-403b-b5cd-bbc29b581f1e,Fabric,F100054,CID-004,CA-0007,2025-06-01,Cancelled,874.94,76.55,951.49,AmEx,USD,SampleGen
97a7e577-32aa-475d-9a36-9f697a4d074e,Fabric,F100055,CID-004,CA-0007,2025-07-14,Completed,1364.91,119.43,1484.34,AmEx,USD,SampleGen
d86c527f-3a5f-4573-8f31-0a9f82dade9c,Fabric,F100056,CID-004,CA-0007,2025-08-18,Shipped,534.95,46.8,581.75,VISA,USD,SampleGen
21e41fd3-cd88-4015-8d52-c8b234176eb9,Fabric,F100057,CID-004,CA-0007,2025-09-04,Completed,919.95,80.5,1000.45,VISA,USD,SampleGen
0a3ac890-3773-42b9-96ac-6683394bb1e5,Fabric,F100058,CID-004,CA-0007,2025-10-11,Completed,759.94,66.49,826.43,PayPal,USD,SampleGen
4a8d97bb-eae7-45f7-a7aa-a898471b9125,Fabric,F100059,CID-004,CA-0007,2025-11-06,Completed,1239.95,108.5,1348.45,AmEx,USD,SampleGen
ef2a8a26-e254-4182-8780-ea113e9fc89c,Fabric,F100060,CID-004,CA-0007,2025-12-01,Shipped,179.98,15.74,195.72,AmEx,USD,SampleGen
def3ac45-b270-4c1a-88ad-57f6e24cbd8c,Fabric,F100061,CID-004,CA-0007,2026-01-23,Completed,149.98,13.12,163.1,PayPal,USD,SampleGen
43fc0c03-160e-4354-9eb4-3b99dae04594,Fabric,F100062,CID-004,CA-0007,2026-02-23,Completed,74.99,6.56,81.55,Discover,USD,SampleGen
ffc029f1-556b-4b1d-adfb-9894cc777453,Fabric,F100063,CID-004,CA-0007,2026-03-07,Completed,789.97,69.12,859.09,AmEx,USD,SampleGen
232794df-e8f3-45b2-a010-146e63f573fc,Fabric,F100064,CID-005,CA-0009,2025-01-10,Completed,339.98,29.75,369.73,VISA,USD,SampleGen
2de3c4d3-2963-4776-b81a-9c75ceae59c6,Fabric,F100065,CID-005,CA-0009,2025-02-17,Completed,1144.94,100.18,1245.12,MC,USD,SampleGen
07848c92-a379-457e-ba03-256ff8b49183,Fabric,F100066,CID-005,CA-0009,2025-03-06,Completed,839.95,73.49,913.44,PayPal,USD,SampleGen
3e448621-bfe5-4e84-97b3-c31a418351c6,Fabric,F100067,CID-005,CA-0009,2025-04-19,Completed,1839.92,161.0,2000.92,VISA,USD,SampleGen
d000aa82-ddf5-4650-bbd4-8234a395a8fb,Fabric,F100068,CID-005,CA-0009,2025-05-09,Completed,309.98,27.12,337.1,MC,USD,SampleGen
af9ff05f-ed95-4ed7-9e4c-9c2329219c9c,Fabric,F100069,CID-005,CA-0009,2025-06-16,Completed,919.95,80.49,1000.44,PayPal,USD,SampleGen
2b6c21a9-7c23-4dff-8ff8-bf735421a1bc,Fabric,F100070,CID-005,CA-0009,2025-07-28,Completed,269.97,23.62,293.59,Discover,USD,SampleGen
c3715149-958e-4630-b720-de2d84d10997,Fabric,F100071,CID-005,CA-0009,2025-08-02,Completed,439.97,38.49,478.46,VISA,USD,SampleGen
1c57454a-a055-4199-8542-3b4f238db3d8,Fabric,F100072,CID-005,CA-0009,2025-09-30,Pending,1669.93,146.12,1816.05,VISA,USD,SampleGen
64b6a72d-5889-46a6-98ce-3c4cc7bbc21b,Fabric,F100073,CID-005,CA-0009,2025-10-19,Completed,939.94,82.25,1022.19,AmEx,USD,SampleGen
767b9323-c12a-425e-9007-1ab69ab7858c,Fabric,F100074,CID-005,CA-0009,2025-11-12,Pending,1029.95,90.12,1120.07,VISA,USD,SampleGen
96c4a63c-c9bd-4a92-871a-e85ba616d6a3,Fabric,F100075,CID-005,CA-0009,2025-12-03,Completed,259.98,22.75,282.73,MC,USD,SampleGen
39c1aa3b-c808-4dcc-8451-4c35c3f7ba8e,Fabric,F100076,CID-005,CA-0009,2026-01-10,Completed,1079.94,94.5,1174.44,MC,USD,SampleGen
a462e59a-8dae-44b4-ace5-6b3c66b2a5d4,Fabric,F100077,CID-005,CA-0009,2026-02-03,Shipped,659.96,57.75,717.71,VISA,USD,SampleGen
5bfed393-ff90-4379-b4cd-87250c818424,Fabric,F100078,CID-005,CA-0009,2026-03-12,Completed,2369.9,207.36,2577.26,MC,USD,SampleGen
2b23f3d9-e023-41d2-a6ec-8a5589517391,Fabric,F100079,CID-006,CA-0011,2025-01-27,Pending,424.97,37.18,462.15,VISA,USD,SampleGen
d6abe663-d787-4572-b627-f0fcdcf645f9,Fabric,F100080,CID-006,CA-0011,2025-02-24,Pending,929.95,81.36,1011.31,VISA,USD,SampleGen
27efaa6e-4ccc-4b32-86d2-26827445764d,Fabric,F100081,CID-006,CA-0011,2025-03-03,Shipped,1769.94,154.87,1924.81,Discover,USD,SampleGen
2eabfdea-5842-4d88-b430-934d316a1790,Fabric,F100082,CID-006,CA-0011,2025-04-19,Completed,1419.92,124.24,1544.16,MC,USD,SampleGen
09cd4aed-45b5-4e46-9399-980c2d325325,Fabric,F100083,CID-006,CA-0011,2025-05-20,Completed,659.98,57.75,717.73,VISA,USD,SampleGen
2105a943-ad33-4e89-9f2e-309c14c8bc02,Fabric,F100084,CID-006,CA-0011,2025-06-15,Completed,179.98,15.75,195.73,MC,USD,SampleGen
01fc6b86-e1f6-4cf9-9618-110ed7cd1dbf,Fabric,F100085,CID-006,CA-0011,2025-07-18,Completed,1349.97,118.12,1468.09,AmEx,USD,SampleGen
d19da300-76d7-45fc-8bf3-029b3fa41009,Fabric,F100086,CID-006,CA-0011,2025-08-06,Completed,1029.95,90.12,1120.07,AmEx,USD,SampleGen
0954767c-d115-4222-8051-2d406048fa66,Fabric,F100087,CID-006,CA-0011,2025-09-07,Completed,1109.93,97.11,1207.04,VISA,USD,SampleGen
7470f9ba-6d5d-4d66-87af-c3ed78281572,Fabric,F100088,CID-006,CA-0011,2025-10-20,Completed,1149.94,100.61,1250.55,VISA,USD,SampleGen
e456e6dc-9b69-4190-98f4-409a8a15d463,Fabric,F100089,CID-006,CA-0011,2025-11-18,Completed,2219.93,194.24,2414.17,VISA,USD,SampleGen
90a20de4-7a47-4b97-85fe-4121b541fb45,Fabric,F100090,CID-006,CA-0011,2025-12-16,Completed,269.97,23.62,293.59,PayPal,USD,SampleGen
2384abb3-9501-45f7-abb4-56395c0ee59c,Fabric,F100091,CID-006,CA-0011,2025-12-28,Completed,1709.91,149.61,1859.52,MC,USD,SampleGen
321ee5d8-db4f-47c7-ba89-ab02d1b21243,Fabric,F100092,CID-006,CA-0011,2026-01-26,Completed,239.98,20.99,260.97,MC,USD,SampleGen
32bd0820-09c4-41a5-b817-5f8c50f51b67,Fabric,F100093,CID-006,CA-0011,2026-02-04,Completed,1099.94,96.24,1196.18,MC,USD,SampleGen
b5e40c71-a41d-4c44-b808-7989426cc47f,Fabric,F100094,CID-006,CA-0011,2026-02-26,Completed,609.95,53.36,663.31,VISA,USD,SampleGen
a20d63a5-014f-4030-8f81-b277e9685ff4,Fabric,F100095,CID-006,CA-0011,2026-03-17,Completed,129.99,11.37,141.36,VISA,USD,SampleGen
8739662b-9090-4862-b207-0b75c4b95c10,Fabric,F100096,CID-006,CA-0011,2026-03-22,Pending,469.97,41.12,511.09,MC,USD,SampleGen
ead69e6e-a440-4c94-8e17-0c044571f109,Fabric,F100097,CID-007,CA-0013,2025-01-20,Shipped,439.96,38.49,478.45,MC,USD,SampleGen
0cd80e25-3e49-49d2-8c67-a43ea2bc83d7,Fabric,F100098,CID-007,CA-0013,2025-02-20,Completed,469.96,41.12,511.08,PayPal,USD,SampleGen
81dd5b0f-d36c-4a52-a6f1-2da437392264,Fabric,F100099,CID-007,CA-0013,2025-03-14,Completed,224.97,19.68,244.65,AmEx,USD,SampleGen
236fd8e8-31a0-4ce9-9cec-bbf06b08c84a,Fabric,F100100,CID-007,CA-0013,2025-04-20,Completed,1319.92,115.49,1435.41,VISA,USD,SampleGen
27e9f877-b032-4304-8741-bca9cac7f6c3,Fabric,F100101,CID-007,CA-0013,2025-05-03,Completed,504.97,44.19,549.16,VISA,USD,SampleGen
aa5dea0f-b28e-482f-a13c-6d724c2ba44a,Fabric,F100102,CID-007,CA-0013,2025-06-28,Completed,649.96,56.87,706.83,MC,USD,SampleGen
243bd1ca-5ebe-4282-bf09-abf9b7a2324a,Fabric,F100103,CID-007,CA-0013,2025-07-29,Completed,379.98,33.25,413.23,PayPal,USD,SampleGen
87fd2246-4aa0-44be-9ae8-0d6b7c3c08ca,Fabric,F100104,CID-007,CA-0013,2025-08-19,Completed,189.99,16.62,206.61,VISA,USD,SampleGen
2b0f75ef-0f52-427e-a744-cb2e331863df,Fabric,F100105,CID-007,CA-0013,2025-09-25,Completed,479.97,42.0,521.97,VISA,USD,SampleGen
0afefca0-1ed1-4ff7-a47c-f4647890e366,Fabric,F100106,CID-007,CA-0013,2025-10-07,Completed,989.96,86.62,1076.58,VISA,USD,SampleGen
8e59577a-551f-4c55-9920-88dbb24c83bb,Fabric,F100107,CID-007,CA-0013,2025-11-15,Completed,314.98,27.56,342.54,AmEx,USD,SampleGen
4e94941d-c6a3-4b2c-83e4-220c4cabb799,Fabric,F100108,CID-007,CA-0013,2025-12-28,Completed,1229.95,107.62,1337.57,MC,USD,SampleGen
d0ffbce4-082a-4f7b-af64-b1d110e6ee63,Fabric,F100109,CID-007,CA-0013,2026-01-03,Completed,1289.93,112.86,1402.79,VISA,USD,SampleGen
a61a9fe4-7e4c-433b-b198-2219ce404456,Fabric,F100110,CID-007,CA-0013,2026-02-19,Completed,269.97,23.62,293.59,MC,USD,SampleGen
69a8ccdd-8ef9-43fa-b95e-2565c282cbe8,Fabric,F100111,CID-007,CA-0013,2026-03-11,Completed,839.96,73.48,913.44,MC,USD,SampleGen
64831603-ab9d-433f-afb0-8c1222c0969e,Fabric,F100112,CID-008,CA-0014,2025-01-19,Completed,94.99,8.31,103.3,PayPal,USD,SampleGen
a6635932-5184-4808-bcf7-f8eaec6c1323,Fabric,F100113,CID-008,CA-0014,2025-02-07,Completed,179.99,15.75,195.74,MC,USD,SampleGen
70071083-8ea6-49e9-848e-31b55e2d5d59,Fabric,F100114,CID-008,CA-0014,2025-03-04,Completed,329.99,28.87,358.86,AmEx,USD,SampleGen
660ea0a1-f38d-46de-9678-ac7b216ef465,Fabric,F100115,CID-008,CA-0014,2025-04-20,Completed,829.97,72.62,902.59,AmEx,USD,SampleGen
20dd6fca-8dcd-41bb-8196-7f259fa6f887,Fabric,F100116,CID-008,CA-0014,2025-05-17,Pending,909.95,79.62,989.57,VISA,USD,SampleGen
16d3036f-03d1-447e-b17c-ff2cd0110c9b,Fabric,F100117,CID-008,CA-0014,2025-06-23,Completed,1119.94,98.0,1217.94,VISA,USD,SampleGen
ecc9d74f-c49e-433a-b88c-d741b89ec24b,Fabric,F100118,CID-008,CA-0014,2025-07-21,Completed,439.98,38.5,478.48,VISA,USD,SampleGen
da80ebb1-9af3-4b7a-8eaf-e15565408ff3,Fabric,F100119,CID-008,CA-0014,2025-08-17,Completed,1569.96,137.37,1707.33,PayPal,USD,SampleGen
044e3be0-116b-411e-99c9-72ad85b96cf5,Fabric,F100120,CID-008,CA-0014,2025-09-07,Completed,1019.92,89.24,1109.16,VISA,USD,SampleGen
0bb3112e-3d89-4df7-b91f-d796cddfb525,Fabric,F100121,CID-008,CA-0014,2025-10-07,Completed,1019.94,89.24,1109.18,MC,USD,SampleGen
078032b5-550f-48f9-9207-6d6a33471527,Fabric,F100122,CID-008,CA-0014,2025-11-17,Completed,899.98,78.75,978.73,MC,USD,SampleGen
3f85a5e2-6713-4aad-8afe-99de01248341,Fabric,F100123,CID-008,CA-0014,2025-12-15,Completed,1269.93,111.12,1381.05,VISA,USD,SampleGen
d4a39776-5ceb-49cb-9713-b786efc90714,Fabric,F100124,CID-008,CA-0014,2026-01-22,Completed,289.99,25.37,315.36,Discover,USD,SampleGen
0c39f814-dac2-43f7-beff-f51bb54641d8,Fabric,F100125,CID-008,CA-0014,2026-02-16,Completed,759.94,66.49,826.43,VISA,USD,SampleGen
af344c89-7005-4191-92a8-0f1b543f6993,Fabric,F100126,CID-008,CA-0014,2026-03-12,Completed,274.97,24.06,299.03,VISA,USD,SampleGen
fbd86688-ecc3-42d3-8302-86ef5f10a5a3,Fabric,F100127,CID-009,CA-0016,2025-01-13,Completed,604.94,52.92,657.86,PayPal,USD,SampleGen
0a31e06d-2981-4c33-990f-39ecf923e059,Fabric,F100128,CID-009,CA-0016,2025-02-11,Pending,289.99,25.37,315.36,VISA,USD,SampleGen
2239ea20-7c4b-4a2b-9275-b173895ca6f3,Fabric,F100129,CID-009,CA-0016,2025-03-13,Completed,539.94,47.24,587.18,VISA,USD,SampleGen
16ac3147-0b12-416b-b845-d899d6a290cb,Fabric,F100130,CID-009,CA-0016,2025-04-25,Pending,274.97,24.06,299.03,VISA,USD,SampleGen
2b074363-a1a6-4ab9-bac6-e4e08ac0e0d6,Fabric,F100131,CID-009,CA-0016,2025-05-14,Completed,969.95,84.87,1054.82,MC,USD,SampleGen
5325ca55-b3a5-4411-b58c-1e799c9956e4,Fabric,F100132,CID-009,CA-0016,2025-06-25,Cancelled,254.98,22.31,277.29,VISA,USD,SampleGen
bd1097b9-c012-4912-b5af-89e8dab225fc,Fabric,F100133,CID-009,CA-0016,2025-07-30,Completed,74.99,6.56,81.55,VISA,USD,SampleGen
dfbd5788-ef44-4ab9-9b6b-49af080b33d7,Fabric,F100134,CID-009,CA-0016,2025-08-14,Completed,929.96,81.37,1011.33,AmEx,USD,SampleGen
a5a7acc3-98ba-4002-9faa-de1baac040b7,Fabric,F100135,CID-009,CA-0016,2025-09-14,Completed,1079.97,94.5,1174.47,VISA,USD,SampleGen
8ee93037-3e8b-4658-ae27-276adaa53d48,Fabric,F100136,CID-009,CA-0016,2025-10-26,Completed,1319.91,115.49,1435.4,VISA,USD,SampleGen
4f484b1c-fc3c-4ed0-be59-d7e63a727751,Fabric,F100137,CID-009,CA-0016,2025-11-15,Completed,399.97,35.0,434.97,Discover,USD,SampleGen
15ac55f8-ee9a-4da7-b9c7-952084537c52,Fabric,F100138,CID-009,CA-0016,2025-12-01,Completed,1889.91,165.36,2055.27,MC,USD,SampleGen
8862c947-02ed-4ac2-a0d1-4db7dda65aae,Fabric,F100139,CID-009,CA-0016,2026-01-15,Completed,1129.95,98.86,1228.81,PayPal,USD,SampleGen
2154a4e2-8e60-45ac-9b26-fe76a475f38d,Fabric,F100140,CID-009,CA-0016,2026-02-15,Cancelled,1449.95,126.87,1576.82,MC,USD,SampleGen
3ea7fa31-4b0c-4442-9f29-8a0b4e4526a2,Fabric,F100141,CID-009,CA-0016,2026-03-23,Completed,1579.93,138.24,1718.17,Discover,USD,SampleGen
ce7b3114-9bf0-43a5-8327-263f273c307f,Fabric,F100142,CID-010,CA-0018,2025-01-30,Completed,149.98,13.12,163.1,Discover,USD,SampleGen
9a0e8151-c332-4c2e-aa38-a6582e27edff,Fabric,F100143,CID-010,CA-0018,2025-02-23,Completed,899.93,78.74,978.67,PayPal,USD,SampleGen
b01d9287-5543-4d61-9610-28b5d80538f3,Fabric,F100144,CID-010,CA-0018,2025-03-15,Completed,2244.91,196.42,2441.33,PayPal,USD,SampleGen
d6f8e616-bdf8-4cd9-b441-daa57559bb90,Fabric,F100145,CID-010,CA-0018,2025-04-15,Pending,584.94,51.17,636.11,VISA,USD,SampleGen
72b3f329-219a-4701-9296-568f18e5e2bf,Fabric,F100146,CID-010,CA-0018,2025-04-16,Completed,1799.96,157.49,1957.45,PayPal,USD,SampleGen
bdf47eb5-a364-41f3-a6a1-1b256ad36c3d,Fabric,F100147,CID-010,CA-0018,2025-05-20,Completed,1304.96,114.18,1419.14,MC,USD,SampleGen
5ae86432-632a-4fb1-88a1-a6212da86c34,Fabric,F100148,CID-010,CA-0018,2025-05-24,Pending,482.96,42.26,525.22,VISA,USD,SampleGen
