ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-04-01,Monthly,256,75.05,1.4,Growing,192,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
2,1521,Adventurer Pro Backpack,Camping,2026-04-01,Weekly,59,74.08,1.4,Growing,192,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
3,1521,Adventurer Pro Backpack,Camping,2026-04-08,Weekly,59,74.28,1.4,Growing,192,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
4,1521,Adventurer Pro Backpack,Camping,2026-04-15,Weekly,59,73.99,1.4,Growing,192,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
5,1521,Adventurer Pro Backpack,Camping,2026-04-22,Weekly,59,72.07,1.4,Growing,192,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
6,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,300,75.05,1.5,Growing,192,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
7,1521,Adventurer Pro Backpack,Camping,2026-05-31,Monthly,291,75.05,1.5,Growing,192,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
8,1531,Summit Breeze Jacket,Camping,2026-04-01,Monthly,255,84.54,1.4,Growing,180,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
9,1531,Summit Breeze Jacket,Camping,2026-04-01,Weekly,59,84.14,1.4,Growing,180,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
10,1531,Summit Breeze Jacket,Camping,2026-04-08,Weekly,59,88.33,1.4,Growing,180,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
11,1531,Summit Breeze Jacket,Camping,2026-04-15,Weekly,59,84.68,1.4,Growing,180,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
12,1531,Summit Breeze Jacket,Camping,2026-04-22,Weekly,59,88.44,1.4,Growing,180,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
13,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,274,84.54,1.5,Growing,180,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
14,1531,Summit Breeze Jacket,Camping,2026-05-31,Monthly,273,84.54,1.5,Growing,180,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
15,1541,TrekReady Hiking Boots,Camping,2026-04-01,Monthly,189,86.47,1.4,Growing,139,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
16,1541,TrekReady Hiking Boots,Camping,2026-04-01,Weekly,43,89.24,1.4,Growing,139,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
17,1541,TrekReady Hiking Boots,Camping,2026-04-08,Weekly,43,90.39,1.4,Growing,139,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
18,1541,TrekReady Hiking Boots,Camping,2026-04-15,Weekly,43,82.86,1.4,Growing,139,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
19,1541,TrekReady Hiking Boots,Camping,2026-04-22,Weekly,43,89.88,1.4,Growing,139,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
20,1541,TrekReady Hiking Boots,Camping,2026-05-01,Monthly,213,86.47,1.5,Growing,139,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
21,1541,TrekReady Hiking Boots,Camping,2026-05-31,Monthly,214,86.47,1.5,Growing,139,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
22,1551,BaseCamp Folding Table,Camping,2026-04-01,Monthly,109,85.11,1.4,Growing,81,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
23,1551,BaseCamp Folding Table,Camping,2026-04-01,Weekly,25,84.34,1.4,Growing,81,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
24,1551,BaseCamp Folding Table,Camping,2026-04-08,Weekly,25,80.96,1.4,Growing,81,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
25,1551,BaseCamp Folding Table,Camping,2026-04-15,Weekly,25,88.14,1.4,Growing,81,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
26,1551,BaseCamp Folding Table,Camping,2026-04-22,Weekly,25,80.68,1.4,Growing,81,Sales Velocity + Seasonal,7,,,system,2026-03-09 14:29:59
27,1551,BaseCamp Folding Table,Camping,2026-05-01,Monthly,117,85.11,1.5,Growing,81,Sales Velocity + Seasonal,30,,,system,2026-03-09 14:29:59
