PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,7,PO-2026-0007,1572,MountainDream Sleeping Bag,General,195,195.0,293.24,57181.8,Received,2026-02-10,2026-02-19,Supplier SKU: WOR-1572,system,2026-01-13 14:33:03
2,36,PO-2025-0036,2071,Baking Pan,General,1,1.0,53.63,53.63,Received,2026-01-23,2026-01-26,Supplier SKU: WOR-2071,system,2025-12-21 14:33:03
3,36,PO-2025-0036,2111,High-Speed Blender,General,2,2.0,48.61,97.22,Received,2026-01-23,2026-01-26,Supplier SKU: WOR-2111,system,2025-12-21 14:33:03
4,39,PO-2026-0039,2031,Coffee Mug,General,203,,200.87,40776.61,Shipped,2026-03-12,,Supplier SKU: WOR-2031,system,2026-02-14 14:33:03
5,39,PO-2026-0039,2081,Food Storage Set,General,104,,126.02,13106.08,Shipped,2026-03-12,,Supplier SKU: WOR-2081,system,2026-02-14 14:33:03
6,49,PO-2026-0049,2061,Mixing Bowl,General,180,,51.34,9241.2,Pending,2026-03-28,,Supplier SKU: WOR-2061,system,2026-03-02 14:33:03
7,49,PO-2026-0049,2111,High-Speed Blender,General,3,,48.61,145.83,Pending,2026-03-28,,Supplier SKU: WOR-2111,system,2026-03-02 14:33:03
8,49,PO-2026-0049,1572,MountainDream Sleeping Bag,General,239,,293.24,70084.36,Pending,2026-03-28,,Supplier SKU: WOR-1572,system,2026-03-02 14:33:03
9,49,PO-2026-0049,1522,SummitClimber Backpack,General,2,,241.1,482.2,Pending,2026-03-28,,Supplier SKU: WOR-1522,system,2026-03-02 14:33:03
10,49,PO-2026-0049,2081,Food Storage Set,General,34,,126.02,4284.68,Pending,2026-03-28,,Supplier SKU: WOR-2081,system,2026-03-02 14:33:03
