PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2025-0001,5,Fabrikam,2025-12-20,2026-01-09,2026-01-10,Delivered,0.0,Regional DC,buyer1,Low,Order for Ski products,system,2025-12-20 14:31:14
2,PO-2026-0002,4,Worldwide Importers,2026-02-20,2026-03-25,,Confirmed,66880.67,Main Warehouse,buyer2,High,Multi-category order,system,2026-02-20 14:31:14
3,PO-2026-0003,4,Worldwide Importers,2026-02-17,2026-03-19,,InTransit,117990.73,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-17 14:31:14
4,PO-2026-0004,1,Contoso Camping Equipment,2026-01-24,2026-02-06,2026-02-08,Delivered,0.0,Regional DC,buyer1,Medium,Order for Camping products,system,2026-01-24 14:31:14
5,PO-2026-0005,1,Contoso Camping Equipment,2026-02-09,2026-02-21,2026-02-23,Delivered,0.0,Main Warehouse,buyer1,Low,Order for Camping products,system,2026-02-09 14:31:14
6,PO-2025-0006,1,Contoso Camping Equipment,2025-12-22,2026-01-06,2026-01-08,Delivered,0.0,Main Warehouse,supply_manager,Emergency,Order for Camping products,system,2025-12-22 14:31:14
7,PO-2026-0007,5,Fabrikam,2026-01-14,2026-02-07,2026-02-07,Delivered,0.0,Backup Warehouse,supply_manager,Low,Order for Ski products,system,2026-01-14 14:31:14
8,PO-2025-0008,2,Contoso Kitchen,2025-12-22,2026-01-02,2026-01-04,Delivered,0.0,Regional DC,buyer2,Low,Order for Kitchen products,system,2025-12-22 14:31:14
9,PO-2026-0009,3,Contoso Ski Equipment,2026-01-15,2026-01-25,2026-01-28,Delivered,0.0,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-01-15 14:31:14
10,PO-2026-0010,2,Contoso Kitchen,2026-01-17,2026-01-25,2026-01-28,Delivered,0.0,Backup Warehouse,supply_manager,Low,Order for Kitchen products,system,2026-01-17 14:31:14
11,PO-2026-0011,3,Contoso Ski Equipment,2026-02-21,2026-03-07,,Sent,0.0,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-02-21 14:31:14
12,PO-2026-0012,4,Worldwide Importers,2026-02-01,2026-03-02,2026-03-03,Delivered,11586.55,Backup Warehouse,supply_manager,Low,Multi-category order,system,2026-02-01 14:31:14
13,PO-2025-0013,4,Worldwide Importers,2025-12-04,2025-12-30,2025-12-31,Delivered,16758.02,Regional DC,buyer2,Low,Multi-category order,system,2025-12-04 14:31:14
14,PO-2026-0014,4,Worldwide Importers,2026-02-17,2026-03-21,,InTransit,158282.32,Backup Warehouse,buyer1,Low,Multi-category order,system,2026-02-17 14:31:14
15,PO-2026-0015,2,Contoso Kitchen,2026-02-11,2026-02-24,2026-02-25,Delivered,0.0,Regional DC,supply_manager,Low,Order for Kitchen products,system,2026-02-11 14:31:14
16,PO-2026-0016,3,Contoso Ski Equipment,2026-01-27,2026-02-10,2026-02-11,Delivered,0.0,Main Warehouse,buyer2,Low,Order for Ski products,system,2026-01-27 14:31:14
17,PO-2026-0017,2,Contoso Kitchen,2026-01-03,2026-01-15,2026-01-17,Delivered,0.0,Backup Warehouse,supply_manager,Low,Order for Kitchen products,system,2026-01-03 14:31:14
18,PO-2026-0018,1,Contoso Camping Equipment,2026-01-01,2026-01-14,2026-01-14,Delivered,0.0,Regional DC,buyer2,Low,Order for Camping products,system,2026-01-01 14:31:14
19,PO-2025-0019,1,Contoso Camping Equipment,2025-12-05,2025-12-18,2025-12-20,Delivered,0.0,Main Warehouse,supply_manager,Low,Order for Camping products,system,2025-12-05 14:31:14
20,PO-2026-0020,4,Worldwide Importers,2026-02-20,2026-03-23,,Sent,32254.45,Regional DC,buyer1,Low,Multi-category order,system,2026-02-20 14:31:14
21,PO-2026-0021,1,Contoso Camping Equipment,2026-01-11,2026-01-30,2026-02-09,Delivered,0.0,Regional DC,buyer1,High,Order for Camping products,system,2026-01-11 14:31:14
22,PO-2026-0022,2,Contoso Kitchen,2026-02-17,2026-02-28,2026-03-03,Delivered,0.0,Backup Warehouse,supply_manager,Medium,Order for Kitchen products,system,2026-02-17 14:31:14
23,PO-2025-0023,4,Worldwide Importers,2025-12-14,2026-01-11,2026-01-14,Delivered,101639.65,Regional DC,buyer1,High,Multi-category order,system,2025-12-14 14:31:14
24,PO-2026-0024,5,Fabrikam,2026-02-10,2026-03-01,2026-03-01,Delivered,0.0,Regional DC,buyer2,Medium,Order for Ski products,system,2026-02-10 14:31:14
25,PO-2026-0025,4,Worldwide Importers,2026-01-07,2026-02-09,2026-02-09,Delivered,135446.96,Regional DC,buyer2,Low,Multi-category order,system,2026-01-07 14:31:14
