InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-653c79b4-674c-44bb-bc24-e0f404fbc9bd,IS300000,CID-001,653c79b4-674c-44bb-bc24-e0f404fbc9bd,2026-03-26,2026-04-25,79.99,7.0,86.99,Paid,SampleGen
INV-845314b9-65f2-49fd-9f45-c61a5708ed98,IS300001,CID-001,845314b9-65f2-49fd-9f45-c61a5708ed98,2025-10-25,2025-11-24,449.99,39.37,489.36,Paid,SampleGen
INV-fccb049f-f39a-4722-8d48-122c630ec35b,IS300002,CID-001,fccb049f-f39a-4722-8d48-122c630ec35b,2026-03-12,2026-04-11,449.99,39.37,489.36,Paid,SampleGen
INV-770fd5e0-ec5c-46d5-be59-ea6b8987a104,IS300003,CID-001,770fd5e0-ec5c-46d5-be59-ea6b8987a104,2025-01-26,2025-02-25,399.98,35.0,434.98,Paid,SampleGen
INV-d3d3359a-2b9c-42e6-b4b1-9f0c18c017e8,IS300004,CID-002,d3d3359a-2b9c-42e6-b4b1-9f0c18c017e8,2026-03-01,2026-03-31,399.99,35.0,434.99,Paid,SampleGen
INV-e27185e1-6a66-4105-bd6e-87273340c6e5,IS300005,CID-002,e27185e1-6a66-4105-bd6e-87273340c6e5,2025-04-06,2025-05-06,1749.97,153.12,1903.09,Paid,SampleGen
INV-6ab56b8c-a433-4e01-a66d-8c8a4a34591c,IS300006,CID-003,6ab56b8c-a433-4e01-a66d-8c8a4a34591c,2025-05-05,2025-06-04,1299.94,113.75,1413.69,Paid,SampleGen
INV-d100fe6d-967c-4fa6-a704-3c758b60e97a,IS300007,CID-003,d100fe6d-967c-4fa6-a704-3c758b60e97a,2025-12-29,2026-01-28,2849.95,249.37,3099.32,Paid,SampleGen
INV-256e5910-6a5d-43b9-b830-7b07db1c13f7,IS300008,CID-004,256e5910-6a5d-43b9-b830-7b07db1c13f7,2025-04-25,2025-05-25,3029.93,265.12,3295.05,Paid,SampleGen
INV-c14d7c96-10e2-4a0e-a328-1f9bc414354f,IS300009,CID-005,c14d7c96-10e2-4a0e-a328-1f9bc414354f,2025-07-26,2025-08-25,1139.95,99.75,1239.7,Paid,SampleGen
INV-c1e9834c-ef93-4529-9326-21bb30f87e05,IS300010,CID-005,c1e9834c-ef93-4529-9326-21bb30f87e05,2025-03-09,2025-04-08,2979.94,260.75,3240.69,Paid,SampleGen
INV-8bdd9ec2-16fa-4594-b96e-902b16b63e3b,IS300011,CID-006,8bdd9ec2-16fa-4594-b96e-902b16b63e3b,2025-08-20,2025-09-19,539.96,47.25,587.21,Paid,SampleGen
INV-883fcae6-cb6c-4476-85f1-9fa277330ea9,IS300012,CID-006,883fcae6-cb6c-4476-85f1-9fa277330ea9,2025-09-01,2025-10-01,1999.95,175.0,2174.95,Paid,SampleGen
INV-9061b99c-22fd-453f-98eb-9104d086eb2b,IS300013,CID-006,9061b99c-22fd-453f-98eb-9104d086eb2b,2025-07-03,2025-08-02,799.99,70.0,869.99,Paid,SampleGen
INV-5ad46fe7-1e5e-4cc3-9b12-2c872576a6a8,IS300014,CID-007,5ad46fe7-1e5e-4cc3-9b12-2c872576a6a8,2025-08-19,2025-09-18,1829.95,160.12,1990.07,Paid,SampleGen
INV-34bd8716-5df4-4166-8c0d-8e0141ae19e0,IS300015,CID-007,34bd8716-5df4-4166-8c0d-8e0141ae19e0,2025-08-16,2025-09-15,939.94,82.25,1022.19,Paid,SampleGen
INV-748085ee-4291-4fa0-9941-0fe46f7417e9,IS300016,CID-008,748085ee-4291-4fa0-9941-0fe46f7417e9,2025-11-03,2025-12-03,3569.93,312.37,3882.3,Paid,SampleGen
INV-079ab6f6-fdc6-4af6-aa74-684c78d6f379,IS300017,CID-008,079ab6f6-fdc6-4af6-aa74-684c78d6f379,2026-01-05,2026-02-04,1439.96,126.0,1565.96,Paid,SampleGen
INV-f0917032-ea70-4282-844a-917a8e367e0f,IS300018,CID-008,f0917032-ea70-4282-844a-917a8e367e0f,2025-07-18,2025-08-17,814.95,71.31,886.26,Paid,SampleGen
INV-a541afa3-1ae6-4f60-b0d1-d9af85392b3e,IS300019,CID-009,a541afa3-1ae6-4f60-b0d1-d9af85392b3e,2025-09-07,2025-10-07,1699.97,148.75,1848.72,Paid,SampleGen
INV-1d6f0e4b-b8a2-4f6a-9302-5e57a08878ff,IS300020,CID-010,1d6f0e4b-b8a2-4f6a-9302-5e57a08878ff,2026-03-06,2026-04-05,914.98,80.06,995.04,Paid,SampleGen
INV-8f454ec7-7735-48b3-ba2f-dd44eeaa3663,IS300021,CID-010,8f454ec7-7735-48b3-ba2f-dd44eeaa3663,2026-03-17,2026-04-16,1379.96,120.75,1500.71,Paid,SampleGen
INV-501583c9-6163-45d1-9d89-31d414f3b89d,IS300022,CID-010,501583c9-6163-45d1-9d89-31d414f3b89d,2025-03-16,2025-04-15,79.99,7.0,86.99,Paid,SampleGen
INV-5bb1b671-a666-4176-a987-1d5c05b35a48,IS300023,CID-010,5bb1b671-a666-4176-a987-1d5c05b35a48,2025-07-14,2025-08-13,379.98,33.25,413.23,Paid,SampleGen
INV-35395a93-77da-4d1d-983c-e6873d287a1b,IS300024,CID-010,35395a93-77da-4d1d-983c-e6873d287a1b,2025-09-21,2025-10-21,2299.96,201.25,2501.21,Paid,SampleGen
INV-c8f8ca3b-b998-405f-aaf9-d70c20ecc264,IS300025,CID-010,c8f8ca3b-b998-405f-aaf9-d70c20ecc264,2025-08-14,2025-09-13,899.97,78.75,978.72,Paid,SampleGen
INV-35049e07-3265-4574-9d86-7a6aa08f3349,IS300026,CID-010,35049e07-3265-4574-9d86-7a6aa08f3349,2025-03-19,2025-04-18,2979.96,260.75,3240.71,Paid,SampleGen
INV-b15a5f2b-71b2-4470-baf2-ae0c121795d8,IS300027,CID-011,b15a5f2b-71b2-4470-baf2-ae0c121795d8,2025-10-21,2025-11-20,2359.94,206.5,2566.44,Paid,SampleGen
INV-0b7132d9-a6f0-4bb3-b925-937b50c2932d,IS300028,CID-011,0b7132d9-a6f0-4bb3-b925-937b50c2932d,2026-01-12,2026-02-11,1999.96,175.0,2174.96,Paid,SampleGen
