PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-ba1a7940-ce85-44b7-83c6-1d8e07bcdcfa,INV-ba1a7940-ce85-44b7-83c6-1d8e07bcdcfa,CID-001,2025-04-26,1522.47,VISA,Completed,SampleGen
PAY-67c0fe6f-a88c-4a1f-b521-687c3e6fde0c,INV-67c0fe6f-a88c-4a1f-b521-687c3e6fde0c,CID-001,2026-01-14,2783.93,PayPal,Completed,SampleGen
PAY-986ff229-df64-4d86-91f6-a7f2a56533b3,INV-986ff229-df64-4d86-91f6-a7f2a56533b3,CID-001,2026-03-11,347.98,VISA,Completed,SampleGen
PAY-e7664825-92f5-4247-8e07-d2997d37e421,INV-e7664825-92f5-4247-8e07-d2997d37e421,CID-001,2025-05-16,1033.05,VISA,Completed,SampleGen
PAY-f91ba840-7f2a-431b-8860-67c4dffaa74d,INV-f91ba840-7f2a-431b-8860-67c4dffaa74d,CID-001,2025-01-18,217.49,PayPal,Completed,SampleGen
PAY-92cea640-4350-4580-90df-2f0eb3df4b86,INV-92cea640-4350-4580-90df-2f0eb3df4b86,CID-001,2026-03-12,434.99,PayPal,Completed,SampleGen
PAY-dda8d3d2-3d6a-47e2-900a-85e4d0b38b28,INV-dda8d3d2-3d6a-47e2-900a-85e4d0b38b28,CID-002,2025-02-01,4197.68,PayPal,Completed,SampleGen
PAY-1a7ec944-6972-4407-aedb-e065c598b279,INV-1a7ec944-6972-4407-aedb-e065c598b279,CID-003,2025-04-21,815.6,AmEx,Completed,SampleGen
PAY-6ce8800b-9a35-4abc-a899-4d72f66d38cc,INV-6ce8800b-9a35-4abc-a899-4d72f66d38cc,CID-003,2025-07-19,282.73,PayPal,Completed,SampleGen
PAY-a3a1bd0b-e623-4edb-8e0e-ad4953bf666d,INV-a3a1bd0b-e623-4edb-8e0e-ad4953bf666d,CID-003,2025-11-20,1413.73,PayPal,Completed,SampleGen
PAY-f8dd7dda-5656-49d9-9e74-bca08bbd3c2a,INV-f8dd7dda-5656-49d9-9e74-bca08bbd3c2a,CID-003,2026-01-29,6307.42,MC,Completed,SampleGen
PAY-ec255a92-5256-41f3-ac32-7e529f61b91d,INV-ec255a92-5256-41f3-ac32-7e529f61b91d,CID-004,2025-07-20,467.59,VISA,Completed,SampleGen
PAY-9def31f0-3c32-4a27-a0fa-f58cf7ebe54e,INV-9def31f0-3c32-4a27-a0fa-f58cf7ebe54e,CID-004,2025-03-14,1294.07,MC,Completed,SampleGen
PAY-17912799-8c44-4154-a8dc-4a3d8833b698,INV-17912799-8c44-4154-a8dc-4a3d8833b698,CID-005,2026-03-09,695.96,VISA,Completed,SampleGen
PAY-f1eee91a-c02a-4b42-aa36-7dc023467ddc,INV-f1eee91a-c02a-4b42-aa36-7dc023467ddc,CID-005,2025-08-23,837.32,PayPal,Completed,SampleGen
PAY-ec5da631-e1d1-4273-b763-f68335a76015,INV-ec5da631-e1d1-4273-b763-f68335a76015,CID-006,2025-11-20,2066.21,MC,Completed,SampleGen
PAY-5dc12960-790e-4f94-ae46-1cbf6aed6378,INV-5dc12960-790e-4f94-ae46-1cbf6aed6378,CID-006,2025-08-16,1141.85,Discover,Completed,SampleGen
PAY-6a3f045c-798c-4a01-a6d3-dc3fef22ec98,INV-6a3f045c-798c-4a01-a6d3-dc3fef22ec98,CID-006,2025-08-13,869.96,MC,Completed,SampleGen
PAY-9eb0ef75-2aa7-4d90-b496-9945fb78ae4c,INV-9eb0ef75-2aa7-4d90-b496-9945fb78ae4c,CID-006,2025-09-16,3164.56,MC,Completed,SampleGen
PAY-2ac5cfa6-8c4e-4a55-ba61-121845c098e8,INV-2ac5cfa6-8c4e-4a55-ba61-121845c098e8,CID-007,2025-07-26,3425.58,MC,Completed,SampleGen
PAY-1e5021f4-1646-4548-b380-90a4c6f61bae,INV-1e5021f4-1646-4548-b380-90a4c6f61bae,CID-007,2025-06-26,1587.73,VISA,Completed,SampleGen
PAY-f98761b9-5761-47e1-b8fa-38c079f30392,INV-f98761b9-5761-47e1-b8fa-38c079f30392,CID-008,2025-11-01,2174.93,VISA,Completed,SampleGen
PAY-98b50c7f-6b28-407d-abcb-1be51c75b620,INV-98b50c7f-6b28-407d-abcb-1be51c75b620,CID-008,2025-11-07,1261.48,MC,Completed,SampleGen
PAY-83dc9c81-9a92-4e5c-9a80-3d1e880a1dfb,INV-83dc9c81-9a92-4e5c-9a80-3d1e880a1dfb,CID-008,2025-03-03,489.36,MC,Completed,SampleGen
PAY-9cc2d881-495e-4942-92f7-171261046873,INV-9cc2d881-495e-4942-92f7-171261046873,CID-008,2025-10-20,271.86,VISA,Completed,SampleGen
PAY-ff73c04c-e616-40a9-af8b-abaa016395d4,INV-ff73c04c-e616-40a9-af8b-abaa016395d4,CID-008,2025-07-23,2272.83,AmEx,Completed,SampleGen
PAY-9511462f-3969-439e-8979-4df3bca4364a,INV-9511462f-3969-439e-8979-4df3bca4364a,CID-009,2025-05-21,1185.35,VISA,Completed,SampleGen
PAY-62d74df4-6506-4bbe-be53-257ca08cac39,INV-62d74df4-6506-4bbe-be53-257ca08cac39,CID-010,2025-06-06,1000.44,AmEx,Completed,SampleGen
