OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
3141b425-1aec-4baf-9c33-94290d181278,1,3061,Professional Ski Helmet,1,199.99,199.99,0.0,17.5
3141b425-1aec-4baf-9c33-94290d181278,2,3041,Carbon Fiber Racing Poles - 120cm,1,179.99,179.99,0.0,15.75
3141b425-1aec-4baf-9c33-94290d181278,3,3082,Edge Tuning Tool Set,2,119.99,239.98,0.0,21.0
3141b425-1aec-4baf-9c33-94290d181278,4,3021,Nordic Classic XC Skis - 185cm,1,349.99,349.99,0.0,30.62
71c29158-95e2-487c-b6a1-f65fecdfebea,1,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
71c29158-95e2-487c-b6a1-f65fecdfebea,2,3041,Carbon Fiber Racing Poles - 120cm,2,179.99,359.98,0.0,31.5
71c29158-95e2-487c-b6a1-f65fecdfebea,3,3022,Backcountry Explorer XC Skis - 190cm,1,549.99,549.99,0.0,48.12
71c29158-95e2-487c-b6a1-f65fecdfebea,4,3011,Alpine Pro Racing Skis - 170cm,1,1299.99,1299.99,0.0,113.75
30fe2c8f-1995-4859-b9c0-55b369049849,1,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
30fe2c8f-1995-4859-b9c0-55b369049849,2,3053,Waterproof Ski Pants,1,249.99,249.99,0.0,21.87
30fe2c8f-1995-4859-b9c0-55b369049849,3,3012,Mountain Master All-Terrain Skis - 165cm,2,899.99,1799.98,0.0,157.5
30fe2c8f-1995-4859-b9c0-55b369049849,4,3031,Pro Flex Racing Ski Boots,1,649.99,649.99,0.0,56.87
a7e0e762-1194-4a38-a855-0bdaf2faaf5b,1,3032,Comfort Fit Recreational Boots,2,399.99,799.98,0.0,70.0
a7e0e762-1194-4a38-a855-0bdaf2faaf5b,2,3032,Comfort Fit Recreational Boots,2,399.99,799.98,0.0,70.0
a7e0e762-1194-4a38-a855-0bdaf2faaf5b,3,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
a7e0e762-1194-4a38-a855-0bdaf2faaf5b,4,3101,Winter Boots - Insulated,1,159.99,159.99,0.0,14.0
37a4b91e-e148-492f-9524-ce4cd6788670,1,3081,All-Temp Ski Wax Kit,2,79.99,159.98,0.0,14.0
