ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2024-03-08,Monthly,234,76.09,1.2,Growing,195,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
2,1521,Adventurer Pro Backpack,Camping,2024-03-08,Weekly,54,77.05,1.2,Growing,195,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
3,1521,Adventurer Pro Backpack,Camping,2024-03-15,Weekly,54,75.16,1.2,Growing,195,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
4,1521,Adventurer Pro Backpack,Camping,2024-03-22,Weekly,54,79.51,1.2,Growing,195,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
5,1521,Adventurer Pro Backpack,Camping,2024-03-29,Weekly,54,79.69,1.2,Growing,195,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
6,1521,Adventurer Pro Backpack,Camping,2024-04-07,Monthly,267,76.09,1.4,Growing,195,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
7,1521,Adventurer Pro Backpack,Camping,2024-05-07,Monthly,282,76.09,1.5,Growing,195,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
8,1531,Summit Breeze Jacket,Camping,2024-03-08,Monthly,216,81.96,1.2,Growing,188,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
9,1531,Summit Breeze Jacket,Camping,2024-03-08,Weekly,50,78.28,1.2,Growing,188,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
10,1531,Summit Breeze Jacket,Camping,2024-03-15,Weekly,50,86.95,1.2,Growing,188,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
11,1531,Summit Breeze Jacket,Camping,2024-03-22,Weekly,50,77.31,1.2,Growing,188,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
12,1531,Summit Breeze Jacket,Camping,2024-03-29,Weekly,50,81.51,1.2,Growing,188,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
13,1531,Summit Breeze Jacket,Camping,2024-04-07,Monthly,266,81.96,1.4,Growing,188,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
14,1531,Summit Breeze Jacket,Camping,2024-05-07,Monthly,270,81.96,1.5,Growing,188,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
15,1541,TrekReady Hiking Boots,Camping,2024-03-08,Monthly,165,86.63,1.2,Growing,133,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
16,1541,TrekReady Hiking Boots,Camping,2024-03-08,Weekly,38,86.47,1.2,Growing,133,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
17,1541,TrekReady Hiking Boots,Camping,2024-03-15,Weekly,38,85.64,1.2,Growing,133,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
18,1541,TrekReady Hiking Boots,Camping,2024-03-22,Weekly,38,88.04,1.2,Growing,133,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
19,1541,TrekReady Hiking Boots,Camping,2024-03-29,Weekly,38,89.53,1.2,Growing,133,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
20,1541,TrekReady Hiking Boots,Camping,2024-04-07,Monthly,178,86.63,1.4,Growing,133,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
21,1541,TrekReady Hiking Boots,Camping,2024-05-07,Monthly,197,86.63,1.5,Growing,133,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
22,1551,BaseCamp Folding Table,Camping,2024-03-08,Monthly,101,81.56,1.2,Growing,84,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
23,1551,BaseCamp Folding Table,Camping,2024-03-08,Weekly,23,81.47,1.2,Growing,84,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
24,1551,BaseCamp Folding Table,Camping,2024-03-15,Weekly,23,81.45,1.2,Growing,84,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
25,1551,BaseCamp Folding Table,Camping,2024-03-22,Weekly,23,78.85,1.2,Growing,84,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
26,1551,BaseCamp Folding Table,Camping,2024-03-29,Weekly,23,79.78,1.2,Growing,84,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
27,1551,BaseCamp Folding Table,Camping,2024-04-07,Monthly,113,81.56,1.4,Growing,84,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
28,1551,BaseCamp Folding Table,Camping,2024-05-07,Monthly,128,81.56,1.5,Growing,84,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
29,1561,EcoFire Camping Stove,Camping,2024-03-08,Monthly,77,81.57,1.2,Growing,64,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
30,1561,EcoFire Camping Stove,Camping,2024-03-08,Weekly,17,82.96,1.2,Growing,64,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
31,1561,EcoFire Camping Stove,Camping,2024-03-15,Weekly,17,77.18,1.2,Growing,64,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
32,1561,EcoFire Camping Stove,Camping,2024-03-22,Weekly,17,77.86,1.2,Growing,64,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
33,1561,EcoFire Camping Stove,Camping,2024-03-29,Weekly,17,84.31,1.2,Growing,64,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
34,1561,EcoFire Camping Stove,Camping,2024-04-07,Monthly,87,81.57,1.4,Growing,64,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
35,1561,EcoFire Camping Stove,Camping,2024-05-07,Monthly,98,81.57,1.5,Growing,64,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
36,1571,CozyNights Sleeping Bag,Camping,2024-03-08,Monthly,102,82.74,1.2,Growing,86,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
37,1571,CozyNights Sleeping Bag,Camping,2024-03-08,Weekly,23,81.04,1.2,Growing,86,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
38,1571,CozyNights Sleeping Bag,Camping,2024-03-15,Weekly,23,87.72,1.2,Growing,86,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
39,1571,CozyNights Sleeping Bag,Camping,2024-03-22,Weekly,23,79.01,1.2,Growing,86,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
40,1571,CozyNights Sleeping Bag,Camping,2024-03-29,Weekly,23,84.87,1.2,Growing,86,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
41,1571,CozyNights Sleeping Bag,Camping,2024-04-07,Monthly,120,82.74,1.4,Growing,86,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
42,1571,CozyNights Sleeping Bag,Camping,2024-05-07,Monthly,126,82.74,1.5,Growing,86,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
43,1511,Alpine Explorer Tent,Camping,2024-03-08,Monthly,263,86.28,1.2,Growing,213,Sales Velocity + Seasonal,30,,,system,2026-03-09 13:48:17
44,1511,Alpine Explorer Tent,Camping,2024-03-08,Weekly,61,83.12,1.2,Growing,213,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
45,1511,Alpine Explorer Tent,Camping,2024-03-15,Weekly,61,90.57,1.2,Growing,213,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
46,1511,Alpine Explorer Tent,Camping,2024-03-22,Weekly,61,86.7,1.2,Growing,213,Sales Velocity + Seasonal,7,,,system,2026-03-09 13:48:17
