InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
e0a22830-ebf0-4249-a7bd-3e943eb4d362,IN-F100000,CID-001,8c937cd8-8afb-4816-8c9c-c688d8bf571c,2021-01-23,2021-01-23,179.98,15.75,195.73,Issued,SampleGen
18538272-0b6e-4ab8-94f5-e48f02b0fe7e,IN-F100001,CID-001,eb0de437-e029-4afb-afd5-9e5c7adf82ae,2021-02-07,2021-02-07,1879.92,164.49,2044.41,Issued,SampleGen
6e11e564-a33f-43ac-81e2-51fcea7f88f3,IN-F100002,CID-001,6f9ecc14-46e7-4bdf-9feb-9a0d85a6addf,2021-03-11,2021-03-11,124.99,10.94,135.93,Issued,SampleGen
ab00527c-e9bd-4e4d-b12e-46b99b894c81,IN-F100003,CID-001,df9780a0-abb9-449f-b724-17e1f62cf4ea,2021-05-01,2021-05-01,2419.92,211.74,2631.66,Issued,SampleGen
03ce1ee6-121e-4122-8bc8-41bed035d110,IN-F100004,CID-001,4c892b66-140d-4d87-a74f-ebb0ec9c8937,2021-05-08,2021-05-08,299.98,26.25,326.23,Issued,SampleGen
f235709f-db17-41fd-a53b-50e6eae9e80c,IN-F100005,CID-001,6d4768dc-09cc-486d-ad81-f564703a5177,2021-06-12,2021-06-12,2389.9,209.12,2599.02,Issued,SampleGen
2afa173c-5ed6-4501-8eae-8a5b52f28c69,IN-F100006,CID-001,9f16b2f8-8acc-4a50-80c1-20b87e99aec4,2021-07-21,2021-07-21,1114.96,97.56,1212.52,Issued,SampleGen
abfa9380-fc1c-4d12-86a1-4890edd57ec0,IN-F100007,CID-001,4f751a1b-75b5-48a4-a3e9-45386642abf6,2021-08-14,2021-08-14,379.98,33.25,413.23,Issued,SampleGen
23fe50ce-0096-4cdc-93f7-d21e87303d02,IN-F100008,CID-001,d9819cc5-615d-4f2b-a81e-6c36f54c909f,2021-09-29,2021-09-29,1619.9,141.73,1761.63,Issued,SampleGen
91520fb1-a94f-4b8f-9874-8a61339345a6,IN-F100009,CID-001,f3311941-fca9-40b9-91cc-e13990236056,2021-11-01,2021-11-01,319.98,28.0,347.98,Issued,SampleGen
fa2d10a3-fe31-418e-897d-094fa235790c,IN-F100010,CID-001,abd31510-4101-4abb-a772-d1f24c684722,2021-11-10,2021-11-10,869.91,76.11,946.02,Issued,SampleGen
d8ab18d8-93c2-4c79-ae09-ff5a44e95d57,IN-F100011,CID-001,325b557f-e889-4b5f-a306-b8d3f08417b8,2021-12-03,2021-12-03,1009.94,88.37,1098.31,Issued,SampleGen
21c3c645-c8fc-4874-8e48-e58f9d10d116,IN-F100012,CID-001,ffb835e9-3c9b-453c-8e59-45d87037d796,2021-12-21,2021-12-21,1419.91,124.24,1544.15,Issued,SampleGen
4d45332f-e6e2-4526-8a9c-de7478bfaab5,IN-F100013,CID-001,f3220b98-1942-4951-a0fc-a943a0f13aa1,2022-01-18,2022-01-18,219.99,19.25,239.24,Issued,SampleGen
dfa4d00c-46e8-447e-a057-2af89848464f,IN-F100014,CID-001,f5e6d715-cdbf-49cb-9a6f-81db27f7c7ff,2022-02-05,2022-02-05,1469.91,128.62,1598.53,Issued,SampleGen
c0d19392-5fe6-499f-8281-962bf7217d35,IN-F100015,CID-001,42241a2f-4e98-4304-9e73-ee68436585b6,2022-03-31,2022-03-31,449.99,39.37,489.36,Issued,SampleGen
f94e0347-a70e-4be8-80f0-364267e0fc2f,IN-F100016,CID-001,f6e6657a-5950-44a7-a8b6-25ea12b08388,2022-04-02,2022-04-02,719.96,62.99,782.95,Issued,SampleGen
0080cf58-863d-4f4f-a69f-44bc1504e92a,IN-F100017,CID-001,0ecc3c17-25c3-4d7c-8b8b-041c9d883878,2022-05-28,2022-05-28,1299.91,113.74,1413.65,Issued,SampleGen
527de7e4-538a-4907-95dd-dc65d98e0778,IN-F100018,CID-001,7ff03a56-1e36-4e7c-b532-4098cf329bee,2022-06-11,2022-06-11,1349.92,118.11,1468.03,Issued,SampleGen
9d47cf0f-012b-495d-ad20-d51f5efe930d,IN-F100019,CID-001,cd331c47-2c50-4af6-b0e3-c86371323e39,2022-07-27,2022-07-27,1999.9,174.98,2174.88,Issued,SampleGen
c657e017-2dd2-4cab-bdca-66e96c676970,IN-F100020,CID-001,0e20cc25-52f0-4ecd-be90-b3236663084b,2022-08-24,2022-08-24,339.97,29.74,369.71,Issued,SampleGen
b72874f8-30c6-4b5a-a9c7-81281baf81b8,IN-F100021,CID-001,d4d55e27-0555-4c6c-8bc7-9c135f80838c,2022-09-19,2022-09-19,1459.93,127.74,1587.67,Issued,SampleGen
f7e1bfc0-ed49-420f-9f2b-20970c7b2a52,IN-F100022,CID-001,5ed08485-c2d7-4b24-9dbb-3426bb642f1d,2022-10-03,2022-10-03,889.95,77.87,967.82,Issued,SampleGen
27af4dd0-dd4b-47d7-982c-a5f53ad459fa,IN-F100023,CID-001,319f82b9-a6d2-48ef-91f0-e852e67aa2c4,2022-11-21,2022-11-21,1009.92,88.36,1098.28,Issued,SampleGen
f22430ed-377b-4ff5-8760-e4708e13852f,IN-F100024,CID-001,b4627440-dd43-40ee-993a-5eb180b9a04f,2022-12-04,2022-12-04,509.97,44.62,554.59,Issued,SampleGen
1355c32d-609a-45b1-ba96-f6169050fefd,IN-F100025,CID-001,5af364cd-0d3a-47b2-a7de-6d4b23cc1632,2023-01-05,2023-01-05,539.95,47.25,587.2,Issued,SampleGen
46feb301-1bd6-47bc-8c96-a9579b38e59e,IN-F100026,CID-001,5f3ca568-cc15-497a-88ca-d44af8e846e5,2023-02-06,2023-02-06,764.94,66.92,831.86,Issued,SampleGen
dc1fcde1-13b2-44a4-a3ab-8b53916276ff,IN-F100027,CID-001,d2079024-f43d-4586-9e1a-c77e8b08fa9e,2023-03-05,2023-03-05,1699.9,148.74,1848.64,Issued,SampleGen
7965c8f0-f2a8-492a-99af-1024bc8d6fd7,IN-F100028,CID-001,c28f6bdb-cf33-4d9a-9292-f7507977e15d,2023-04-19,2023-04-19,1359.91,118.99,1478.9,Issued,SampleGen
14532f4c-8ccc-4530-ad52-b044c03249d0,IN-F100029,CID-001,bd88b91e-a5d5-4fa8-b851-94acb054847d,2023-05-07,2023-05-07,1469.94,128.62,1598.56,Issued,SampleGen
48d460c3-7efc-41c4-85f7-5baf6f40d17d,IN-F100030,CID-001,6123bd37-956b-4433-ac2c-dbdb0293671e,2023-06-15,2023-06-15,779.91,68.24,848.15,Issued,SampleGen
