PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
b9c87319-a394-42fa-a9ee-342ad5aa9072,5b2c641f-953c-4cbf-904b-09a4a9e38fa3,CID-001,2021-01-10,407.78,MC,Completed,SampleGen
a368c73f-9b06-438b-80a3-4d0ad331693c,41ee3d5c-ee8f-4440-99cb-7c33d30372b7,CID-001,2021-03-01,293.59,MC,Completed,SampleGen
1503166a-c276-4c17-9eda-4b9ea2b233c2,71744516-dfff-4883-8c0f-cf4fa158c9ea,CID-001,2021-03-24,1903.02,VISA,Completed,SampleGen
4bedb846-5e22-48cc-8396-7b14134e6b26,01030b7d-62c5-47cd-b2bb-c2d524f06ef9,CID-001,2021-04-05,2446.82,AmEx,Completed,SampleGen
e3e6e16c-9091-4fef-90c0-707f0e896949,5d7810c9-aa98-4b30-a271-ed2a514efeb7,CID-001,2021-05-25,728.6,MC,Completed,SampleGen
9eb7d914-5bdb-43f3-8f31-09780302fe2b,6d38dbe3-b373-43bd-b540-e3969a3b5e6e,CID-001,2021-06-16,565.46,AmEx,Completed,SampleGen
13b17d42-247b-4bd9-91fb-98d079f28e3c,7ad9ff67-3ca4-48f5-b843-8bcf449a322a,CID-001,2021-07-09,1076.59,MC,Completed,SampleGen
61556b8b-1ba4-430f-a044-e0172d5d3bc8,908ce057-79f6-44e8-bff7-c08f08a937bf,CID-001,2021-08-20,929.74,MC,Completed,SampleGen
cce995c4-5729-43ff-8fb3-ce1ded712a71,671fd5ca-9790-4a78-aaae-544191ef1f29,CID-001,2021-09-29,1500.7,MC,Completed,SampleGen
877d6f87-896a-4ce0-a6f0-9660b427a378,96b2e1e2-1dda-4421-b27a-69b4e205cec3,CID-001,2021-10-18,788.4,MC,Completed,SampleGen
fffec458-de8b-4c79-953b-e433383a1e66,094f4924-654e-4bcb-956b-a6448fef678a,CID-001,2021-11-24,2006.3,MC,Completed,SampleGen
b7c7e587-2804-4706-b761-1d01e3105102,04d1a281-ba40-4f20-840b-6ede1fc8c6a4,CID-001,2021-12-22,554.59,VISA,Completed,SampleGen
13d174a8-04b5-4449-a805-f4b9b7edca0a,58388b97-0b4e-43f7-84bc-a12f39636ff9,CID-001,2022-01-10,206.61,VISA,Completed,SampleGen
10297016-a637-4e91-a4ed-044b53a92784,bee2435c-6a9f-4055-af19-1ee719b6f6e5,CID-001,2022-02-20,1729.03,MC,Completed,SampleGen
c4160fce-c612-4907-84cc-2ba288dc3809,72ac5f3f-c65b-430d-b9c9-5c0c52992aff,CID-001,2022-03-25,1185.31,AmEx,Completed,SampleGen
7298ccef-cd98-402c-a507-0c0a683c9c70,caccf3a2-2acd-41fb-b8cb-0a6507d7efc5,CID-001,2022-04-18,1337.54,PayPal,Completed,SampleGen
b6e61151-ac38-4e6b-ad78-70551006dd8d,dc95ddb8-d1fc-47e4-b747-03c92a35dc85,CID-001,2022-05-15,163.1,AmEx,Completed,SampleGen
d69a6c51-1a9f-4a89-acb7-a6369ebca329,0d7a7ded-a8d9-498b-a687-fa6b89234f33,CID-001,2022-06-09,1348.41,AmEx,Completed,SampleGen
2f2c9f36-d3e9-46d4-b2aa-4f1bfbc89431,6804f1c0-e461-46a9-b864-5283a626076d,CID-001,2022-07-28,608.96,AmEx,Completed,SampleGen
5ca7764a-10c5-43ab-8fc6-3264b07838db,ec1f9e42-7666-498b-a78d-d23f47c63981,CID-001,2022-08-20,978.73,VISA,Completed,SampleGen
fd9a551d-c7d4-4cf0-985a-b65e892dee9a,d460d315-d73c-4b27-a5e1-4f7c635e6d54,CID-001,2022-09-05,1489.79,PayPal,Completed,SampleGen
d983ea52-ecf8-41c8-a9a4-0df998b27578,7c6042bf-90ac-49e6-a1ac-36549a5817aa,CID-001,2022-10-30,772.09,VISA,Completed,SampleGen
64c0f75c-bea2-4dec-8718-2b32798b113a,3e852f9e-6131-4cd0-b85e-67c16e83f5d6,CID-001,2022-11-25,206.61,AmEx,Completed,SampleGen
d4c4b0b3-55d4-425c-aaa2-0fb64524682e,1a369860-e447-4053-aa01-b8625055a7c2,CID-001,2022-12-15,1772.52,PayPal,Completed,SampleGen
1f691a5f-3f52-412b-b590-4225058dcc02,4abd74e1-872a-4c52-9892-e750cb6bf18c,CID-001,2023-02-01,418.64,VISA,Completed,SampleGen
7a76b7da-6547-45de-86fd-c4db61423d7a,8d90238f-f11e-4c94-8ed1-588b9eb3a977,CID-001,2023-02-02,869.91,PayPal,Completed,SampleGen
68468528-5274-4141-8eb3-19de9e11b14e,4f4eb10a-9c76-4ff3-ac1c-c9d03eadeb8a,CID-001,2023-03-06,2675.14,MC,Completed,SampleGen
ba82047d-ea78-4fd1-aed3-b48291539dc4,9d6fed7d-a1b3-4b07-8d65-a2d36f260430,CID-001,2023-04-28,1478.89,VISA,Completed,SampleGen
50046d25-ae10-44e8-af3e-7fb13b79d658,06b416e8-ee29-407c-982f-496f07f37fa2,CID-001,2023-05-25,489.34,AmEx,Completed,SampleGen
af975b7b-bc51-4dce-bc97-9bf2f2d39e6b,63878dfb-17af-4509-a500-a39b195307c6,CID-001,2023-06-08,1011.32,VISA,Completed,SampleGen
