ForecastID,ProductID,ProductName,ProductCategory,ForecastDate,ForecastPeriod,PredictedDemand,ConfidenceLevel,SeasonalMultiplier,TrendDirection,BaselineDemand,SalesTrendMultiplier,CompoundTrendMultiplier,MethodUsed,ForecastHorizon,ActualDemand,AccuracyScore,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,2026-05-01,Monthly,258,91.51,1.05,Growing,226,1.5,1.09,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-13 12:55:12
2,1521,Adventurer Pro Backpack,Camping,2026-05-01,Weekly,60,91.77,1.5,Growing,226,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
3,1521,Adventurer Pro Backpack,Camping,2026-05-08,Weekly,60,88.78,1.5,Growing,226,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
4,1521,Adventurer Pro Backpack,Camping,2026-05-15,Weekly,60,93.42,1.5,Growing,226,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
5,1521,Adventurer Pro Backpack,Camping,2026-05-22,Weekly,60,95.54,1.5,Growing,226,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
6,1521,Adventurer Pro Backpack,Camping,2026-06-01,Monthly,263,91.51,1.03,Growing,226,1.5,1.13,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-13 12:55:12
7,1521,Adventurer Pro Backpack,Camping,2026-07-01,Monthly,269,91.51,1.02,Growing,226,1.5,1.17,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-13 12:55:12
8,1531,Summit Breeze Jacket,Camping,2026-05-01,Monthly,272,85.34,1.05,Growing,238,1.5,1.09,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-13 12:55:12
9,1531,Summit Breeze Jacket,Camping,2026-05-01,Weekly,63,86.77,1.5,Growing,238,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
10,1531,Summit Breeze Jacket,Camping,2026-05-08,Weekly,63,85.59,1.5,Growing,238,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
11,1531,Summit Breeze Jacket,Camping,2026-05-15,Weekly,63,84.53,1.5,Growing,238,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
12,1531,Summit Breeze Jacket,Camping,2026-05-22,Weekly,63,81.49,1.5,Growing,238,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
13,1531,Summit Breeze Jacket,Camping,2026-06-01,Monthly,277,85.34,1.03,Growing,238,1.5,1.13,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-13 12:55:12
14,1531,Summit Breeze Jacket,Camping,2026-07-01,Monthly,284,85.34,1.02,Growing,238,1.5,1.17,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-13 12:55:12
15,1541,TrekReady Hiking Boots,Camping,2026-05-01,Monthly,220,91.21,1.05,Growing,193,1.5,1.09,Recent Sales Trend Analysis + Seasonal,30,,,system,2026-03-13 12:55:12
16,1541,TrekReady Hiking Boots,Camping,2026-05-01,Weekly,51,93.5,1.5,Growing,193,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
17,1541,TrekReady Hiking Boots,Camping,2026-05-08,Weekly,51,87.23,1.5,Growing,193,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
18,1541,TrekReady Hiking Boots,Camping,2026-05-15,Weekly,51,90.09,1.5,Growing,193,1.5,1.09,Recent Sales Trend Analysis + Seasonal,7,,,system,2026-03-13 12:55:12
