InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,Camping,Backup,324,95,229,121,145,1054,2026-03-11 21:55:11,135.71,Active,system,2026-02-04 12:55:11
2,1531,Summit Breeze Jacket,Camping,Main,1498,419,1079,143,254,1346,2026-03-12 10:55:11,108.38,Excess,system,2025-10-18 12:55:11
3,1541,TrekReady Hiking Boots,Camping,Main,908,240,668,117,153,955,2026-03-11 18:55:11,131.81,Active,system,2025-11-27 12:55:11
4,1551,BaseCamp Folding Table,Camping,Main,178,28,150,63,117,370,2026-03-12 00:55:11,60.45,Active,system,2025-11-06 12:55:11
5,1551,BaseCamp Folding Table,Camping,Backup,42,0,42,63,117,370,2026-03-12 00:55:11,60.45,Active,system,2025-11-06 12:55:11
6,1561,EcoFire Camping Stove,Camping,Main,281,38,243,56,100,405,2026-03-11 14:55:11,93.65,Active,system,2026-01-11 12:55:11
7,1561,EcoFire Camping Stove,Camping,Backup,75,0,75,56,100,405,2026-03-11 14:55:11,93.65,Active,system,2026-01-11 12:55:11
8,1571,CozyNights Sleeping Bag,Camping,Main,315,40,275,112,183,696,2026-03-13 02:55:11,122.54,Active,system,2026-01-12 12:55:11
9,1511,Alpine Explorer Tent,Camping,Main,589,107,482,128,171,771,2026-03-12 14:55:11,323.5,Active,system,2025-10-24 12:55:11
10,1511,Alpine Explorer Tent,Camping,Backup,226,0,226,128,171,771,2026-03-12 14:55:11,323.5,Active,system,2025-10-24 12:55:11
11,1522,SummitClimber Backpack,Camping,Main,645,163,482,207,334,836,2026-03-12 10:55:11,136.95,Active,system,2025-10-18 12:55:11
12,1532,TrailBlaze Hiking Pants,Camping,Regional,1623,219,1404,146,214,1404,2026-03-12 19:55:11,66.64,Excess,system,2025-12-19 12:55:11
13,1532,TrailBlaze Hiking Pants,Camping,Backup,591,0,591,146,214,1404,2026-03-12 19:55:11,66.64,Active,system,2025-12-19 12:55:11
14,1542,TrailWalker Hiking Shoes,Camping,Backup,717,198,519,149,180,634,2026-03-13 11:55:11,91.38,Excess,system,2025-12-22 12:55:11
15,1552,TrekMaster Camping Chair,Camping,Main,14,1,13,45,57,390,2026-03-12 05:55:11,52.56,LowStock,system,2025-11-10 12:55:11
16,1552,TrekMaster Camping Chair,Camping,Backup,5,0,5,45,57,390,2026-03-12 05:55:11,52.56,Active,system,2025-11-10 12:55:11
17,1562,PowerBurner Camping Stove,Camping,Main,24,2,22,40,61,286,2026-03-13 03:55:11,130.11,LowStock,system,2025-10-14 12:55:11
18,1572,MountainDream Sleeping Bag,Camping,Main,500,112,388,116,226,709,2026-03-11 15:55:11,230.09,Active,system,2026-02-04 12:55:11
19,1512,SkyView 2-Person Tent,Camping,Backup,55,15,40,192,346,1255,2026-03-12 19:55:11,240.32,LowStock,system,2025-10-31 12:55:11
20,1523,TrailLite Daypack,Camping,Backup,289,44,245,205,391,960,2026-03-12 22:55:11,58.21,Active,system,2025-11-26 12:55:11
21,1533,RainGuard Hiking Jacket,Camping,Main,572,102,470,165,244,960,2026-03-13 04:55:11,113.66,Active,system,2025-11-05 12:55:11
22,1543,TrekStar Hiking Sandals,Camping,Main,193,23,170,170,248,623,2026-03-13 02:55:11,55.63,Active,system,2025-12-09 12:55:11
23,1543,TrekStar Hiking Sandals,Camping,Backup,73,0,73,170,248,623,2026-03-13 02:55:11,55.63,Active,system,2025-12-09 12:55:11
24,1553,Adventure Dining Table,Camping,Main,63,15,48,68,120,511,2026-03-12 13:55:11,95.97,LowStock,system,2026-01-14 12:55:11
25,1563,CompactCook Camping Stove,Camping,Main,12,1,11,30,55,309,2026-03-11 22:55:11,63.41,LowStock,system,2026-01-13 12:55:11
26,1581,LED Headlamp - Rechargeable,Camping,Main,134,35,99,33,56,175,2026-03-12 04:55:11,51.6,Active,system,2025-11-02 12:55:11
27,1581,LED Headlamp - Rechargeable,Camping,Backup,64,0,64,33,56,175,2026-03-12 04:55:11,51.6,Active,system,2025-11-02 12:55:11
28,2011,Coffee Maker,Kitchen,Regional,208,52,156,347,631,1156,2026-03-12 12:55:11,131.25,LowStock,system,2025-11-07 12:55:11
29,2012,Espresso Machine,Kitchen,Main,505,100,405,204,366,1290,2026-03-12 16:55:11,274.61,Active,system,2025-11-26 12:55:11
30,2021,Chef Knife,Kitchen,Backup,497,113,384,190,268,1252,2026-03-12 13:55:11,60.02,Active,system,2025-09-30 12:55:11
31,2022,Fork Set,Kitchen,Main,1237,157,1080,133,201,1155,2026-03-12 03:55:11,31.33,Excess,system,2026-01-28 12:55:11
32,2031,Coffee Mug,Kitchen,Main,41,11,30,154,185,786,2026-03-12 06:55:11,22.04,LowStock,system,2025-12-09 12:55:11
33,2041,Serving Platter,Kitchen,Regional,665,177,488,182,318,844,2026-03-13 08:55:11,44.11,Active,system,2025-10-02 12:55:11
34,2041,Serving Platter,Kitchen,Backup,236,0,236,182,318,844,2026-03-13 08:55:11,44.11,Active,system,2025-10-02 12:55:11
35,2051,Ice Cream Bowl,Kitchen,Backup,223,37,186,68,113,245,2026-03-13 10:55:11,18.53,Active,system,2026-01-01 12:55:11
36,2061,Mixing Bowl,Kitchen,Main,109,32,77,134,184,851,2026-03-12 13:55:11,28.31,LowStock,system,2025-12-08 12:55:11
37,2071,Baking Pan,Kitchen,Regional,539,96,443,104,171,1052,2026-03-11 17:55:11,22.13,Active,system,2026-01-27 12:55:11
38,2071,Baking Pan,Kitchen,Backup,242,0,242,104,171,1052,2026-03-11 17:55:11,22.13,Active,system,2026-01-27 12:55:11
39,2081,Food Storage Set,Kitchen,Backup,70,10,60,58,114,670,2026-03-12 04:55:11,26.07,Active,system,2025-10-05 12:55:11
40,2091,Spatula,Kitchen,Regional,136,16,120,38,68,420,2026-03-13 09:55:11,8.73,Active,system,2026-02-09 12:55:11
41,2091,Spatula,Kitchen,Backup,52,0,52,38,68,420,2026-03-13 09:55:11,8.73,Active,system,2026-02-09 12:55:11
42,2101,Measuring Cup Set,Kitchen,Main,240,64,176,44,58,313,2026-03-11 15:55:11,14.18,Active,system,2025-11-29 12:55:11
43,2101,Measuring Cup Set,Kitchen,Backup,117,0,117,44,58,313,2026-03-11 15:55:11,14.18,Active,system,2025-11-29 12:55:11
44,2111,High-Speed Blender,Kitchen,Main,249,25,224,52,77,294,2026-03-12 20:55:11,125.46,Active,system,2025-09-26 12:55:11
45,2111,High-Speed Blender,Kitchen,Backup,83,0,83,52,77,294,2026-03-12 20:55:11,125.46,Active,system,2025-09-26 12:55:11
46,2112,4-Slice Toaster,Kitchen,Main,162,24,138,73,126,459,2026-03-11 23:55:11,58.11,Active,system,2025-12-03 12:55:11
47,2121,Bamboo Cutting Board Set,Kitchen,Main,258,70,188,70,123,338,2026-03-11 18:55:11,28.33,Active,system,2025-12-26 12:55:11
48,3011,Alpine Pro Racing Skis - 170cm,Ski,Main,20,3,17,6,10,25,2026-03-12 07:55:11,926.95,Active,system,2025-10-28 12:55:11
49,3012,Mountain Master All-Terrain Skis - 165cm,Ski,Backup,26,3,23,2,3,26,2026-03-12 16:55:11,660.07,Excess,system,2025-10-16 12:55:11
50,3013,Beginner's Choice Alpine Skis - 160cm,Ski,Regional,25,3,22,7,8,26,2026-03-13 11:55:11,273.87,Active,system,2026-01-26 12:55:11
51,3021,Nordic Classic XC Skis - 185cm,Ski,Backup,12,2,10,3,5,18,2026-03-12 02:55:11,237.76,Active,system,2025-10-04 12:55:11
52,3022,Backcountry Explorer XC Skis - 190cm,Ski,Main,10,2,8,2,3,14,2026-03-13 06:55:11,402.11,Active,system,2025-10-08 12:55:11
53,3031,Pro Flex Racing Ski Boots,Ski,Main,12,2,10,5,6,32,2026-03-12 21:55:11,492.82,Active,system,2025-09-30 12:55:11
54,3032,Comfort Fit Recreational Boots,Ski,Backup,15,3,12,2,3,18,2026-03-12 11:55:11,312.38,Active,system,2026-01-09 12:55:11
55,3033,Women's Performance Ski Boots,Ski,Main,4,1,3,4,6,26,2026-03-13 00:55:11,404.26,LowStock,system,2025-09-18 12:55:11
56,3041,Carbon Fiber Racing Poles - 120cm,Ski,Main,5,0,5,1,1,10,2026-03-12 11:55:11,126.56,Active,system,2025-12-10 12:55:11
57,3042,Aluminum All-Mountain Poles - 115cm,Ski,Main,0,0,0,1,1,6,2026-03-12 13:55:11,72.18,OutOfStock,system,2025-09-26 12:55:11
58,3042,Aluminum All-Mountain Poles - 115cm,Ski,Backup,0,0,0,1,1,6,2026-03-12 13:55:11,72.18,OutOfStock,system,2025-09-26 12:55:11
59,3051,Insulated Ski Jacket - Men's,Ski,Main,2,0,2,3,5,15,2026-03-12 04:55:11,206.44,LowStock,system,2026-02-01 12:55:11
60,3052,Thermal Base Layer Set - Women's,Ski,Backup,3,0,3,2,3,25,2026-03-12 09:55:11,96.72,Active,system,2025-11-24 12:55:11
61,3053,Waterproof Ski Pants,Ski,Backup,6,1,5,4,5,17,2026-03-12 09:55:11,191.5,Active,system,2026-01-13 12:55:11
62,3061,Professional Ski Helmet,Ski,Regional,3,0,3,1,1,12,2026-03-12 07:55:11,139.33,Active,system,2025-09-28 12:55:11
63,3061,Professional Ski Helmet,Ski,Backup,0,0,0,1,1,12,2026-03-12 07:55:11,139.33,OutOfStock,system,2025-09-28 12:55:11
64,3062,Anti-Fog Ski Goggles,Ski,Main,7,1,6,2,3,7,2026-03-11 19:55:11,92.94,Excess,system,2025-11-03 12:55:11
65,3071,Ski Boot Bag - Premium,Ski,Main,6,1,5,1,1,6,2026-03-12 08:55:11,45.2,Excess,system,2025-10-21 12:55:11
66,3071,Ski Boot Bag - Premium,Ski,Backup,1,0,1,1,1,6,2026-03-12 08:55:11,45.2,Active,system,2025-10-21 12:55:11
67,3072,Hand Warmers - 10 Pack,Ski,Main,2,0,2,0,0,3,2026-03-13 06:55:11,9.69,Active,system,2026-01-22 12:55:11
68,3072,Hand Warmers - 10 Pack,Ski,Backup,0,0,0,0,0,3,2026-03-13 06:55:11,9.69,OutOfStock,system,2026-01-22 12:55:11
69,3081,All-Temp Ski Wax Kit,Ski,Backup,11,2,9,1,1,18,2026-03-11 14:55:11,60.81,Active,system,2026-01-28 12:55:11
70,3082,Edge Tuning Tool Set,Ski,Main,17,4,13,2,2,15,2026-03-12 11:55:11,78.68,Excess,system,2025-10-17 12:55:11
71,3091,Freestyle Snowboard - 155cm,Ski,Main,2,0,2,0,0,5,2026-03-13 03:55:11,476.58,Active,system,2025-11-17 12:55:11
72,3091,Freestyle Snowboard - 155cm,Ski,Backup,0,0,0,0,0,5,2026-03-13 03:55:11,476.58,OutOfStock,system,2025-11-17 12:55:11
73,3092,All-Mountain Snowboard - 158cm,Ski,Main,8,0,8,1,1,10,2026-03-11 14:55:11,591.02,Active,system,2025-12-24 12:55:11
74,3101,Winter Boots - Insulated,Ski,Main,3,0,3,0,0,3,2026-03-13 09:55:11,110.91,Excess,system,2026-01-28 12:55:11
75,3102,Winter Hiking Boots - Waterproof,Ski,Main,0,0,0,1,1,8,2026-03-12 12:55:11,164.53,OutOfStock,system,2026-02-10 12:55:11
76,3103,Snowboard Bindings - Pro,Ski,Backup,0,0,0,0,0,4,2026-03-12 04:55:11,214.47,OutOfStock,system,2026-01-24 12:55:11
77,3104,Ski Tuning Bench - Portable,Ski,Main,1,0,1,2,2,12,2026-03-11 19:55:11,144.24,LowStock,system,2025-10-20 12:55:11
