PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,3022,Backcountry Explorer XC Skis - 190cm,Ski,72,,392.65,28270.8,Shipped,2026-03-27,,Supplier SKU: FAB-3022,system,2026-03-08 12:55:11
2,1,PO-2026-0001,3042,Aluminum All-Mountain Poles - 115cm,Ski,50,,78.75,3937.5,Shipped,2026-03-27,,Supplier SKU: FAB-3042,system,2026-03-08 12:55:11
3,1,PO-2026-0001,3101,Winter Boots - Insulated,Ski,1,,110.84,110.84,Shipped,2026-03-27,,Supplier SKU: FAB-3101,system,2026-03-08 12:55:11
4,1,PO-2026-0001,3104,Ski Tuning Bench - Portable,Ski,75,,144.65,10848.75,Shipped,2026-03-27,,Supplier SKU: FAB-3104,system,2026-03-08 12:55:11
5,2,PO-2026-0002,3022,Backcountry Explorer XC Skis - 190cm,Ski,103,103.0,392.65,40442.95,Received,2026-02-11,2026-02-12,Supplier SKU: FAB-3022,system,2026-01-27 12:55:11
6,2,PO-2026-0002,3101,Winter Boots - Insulated,Ski,2,2.0,110.84,221.68,Received,2026-02-11,2026-02-12,Supplier SKU: FAB-3101,system,2026-01-27 12:55:11
7,2,PO-2026-0002,3042,Aluminum All-Mountain Poles - 115cm,Ski,81,81.0,78.75,6378.75,Received,2026-02-11,2026-02-12,Supplier SKU: FAB-3042,system,2026-01-27 12:55:11
8,3,PO-2026-0003,2012,Espresso Machine,Kitchen,5,5.0,274.61,1373.05,Received,2026-03-02,2026-03-04,Supplier SKU: PRO-2012,system,2026-02-22 12:55:11
9,3,PO-2026-0003,2051,Ice Cream Bowl,Kitchen,24,19.0,18.53,444.72,Backordered,2026-03-02,2026-03-04,Supplier SKU: PRO-2051,system,2026-02-22 12:55:11
10,3,PO-2026-0003,2101,Measuring Cup Set,Kitchen,3,2.0,14.18,42.54,Backordered,2026-03-02,2026-03-04,Supplier SKU: PRO-2101,system,2026-02-22 12:55:11
11,3,PO-2026-0003,2011,Coffee Maker,Kitchen,17,13.0,130.32,2215.44,Backordered,2026-03-02,2026-03-04,Supplier SKU: PRO-2011,system,2026-02-22 12:55:11
12,4,PO-2026-0004,1523,TrailLite Daypack,Camping,55,55.0,58.21,3201.55,Received,2026-02-07,2026-02-13,Supplier SKU: CON-1523,system,2026-01-25 12:55:11
13,4,PO-2026-0004,1562,PowerBurner Camping Stove,Camping,4,4.0,130.11,520.44,Received,2026-02-07,2026-02-13,Supplier SKU: CON-1562,system,2026-01-25 12:55:11
14,4,PO-2026-0004,1543,TrekStar Hiking Sandals,Camping,38,38.0,55.63,2113.94,Received,2026-02-07,2026-02-13,Supplier SKU: CON-1543,system,2026-01-25 12:55:11
15,4,PO-2026-0004,1581,LED Headlamp - Rechargeable,Camping,4,2.0,51.6,206.4,Backordered,2026-02-07,2026-02-13,Supplier SKU: CON-1581,system,2026-01-25 12:55:11
16,5,PO-2026-0005,3033,Women's Performance Ski Boots,Ski,85,85.0,450.2,38267.0,Received,2026-02-14,2026-02-17,Supplier SKU: WOR-3033,system,2026-01-19 12:55:11
17,5,PO-2026-0005,2022,Fork Set,Kitchen,174,174.0,31.48,5477.52,Received,2026-02-14,2026-02-17,Supplier SKU: WOR-2022,system,2026-01-19 12:55:11
18,5,PO-2026-0005,1533,RainGuard Hiking Jacket,Camping,1,1.0,118.18,118.18,Received,2026-02-14,2026-02-17,Supplier SKU: WOR-1533,system,2026-01-19 12:55:11
19,5,PO-2026-0005,3052,Thermal Base Layer Set - Women's,Ski,40,40.0,98.81,3952.4,Received,2026-02-14,2026-02-17,Supplier SKU: WOR-3052,system,2026-01-19 12:55:11
20,6,PO-2025-0006,2022,Fork Set,Kitchen,169,169.0,31.48,5320.12,Received,2026-01-07,2026-01-09,Supplier SKU: WOR-2022,system,2025-12-15 12:55:11
21,6,PO-2025-0006,3062,Anti-Fog Ski Goggles,Ski,31,31.0,90.31,2799.61,Received,2026-01-07,2026-01-09,Supplier SKU: WOR-3062,system,2025-12-15 12:55:11
22,6,PO-2025-0006,2011,Coffee Maker,Kitchen,3,3.0,132.18,396.54,Received,2026-01-07,2026-01-09,Supplier SKU: WOR-2011,system,2025-12-15 12:55:11
23,6,PO-2025-0006,3071,Ski Boot Bag - Premium,Ski,1,1.0,50.59,50.59,Received,2026-01-07,2026-01-09,Supplier SKU: WOR-3071,system,2025-12-15 12:55:11
24,6,PO-2025-0006,3052,Thermal Base Layer Set - Women's,Ski,50,50.0,98.81,4940.5,Received,2026-01-07,2026-01-09,Supplier SKU: WOR-3052,system,2025-12-15 12:55:11
