PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,5,Fabrikam,2026-03-08,2026-03-27,,InTransit,43167.89,Regional DC,buyer1,Medium,Order for Ski products,system,2026-03-08 12:55:11
2,PO-2026-0002,5,Fabrikam,2026-01-27,2026-02-11,2026-02-12,Delivered,47043.38,Backup Warehouse,supply_manager,High,Order for Ski products,system,2026-01-27 12:55:11
3,PO-2026-0003,2,Proseware Inc,2026-02-22,2026-03-02,2026-03-04,Delivered,4075.75,Backup Warehouse,buyer2,Medium,Order for Kitchen products,system,2026-02-22 12:55:11
4,PO-2026-0004,1,Contoso Ltd,2026-01-25,2026-02-07,2026-02-13,Delivered,6042.33,Main Warehouse,buyer2,Low,Order for Camping products,system,2026-01-25 12:55:11
5,PO-2026-0005,4,Worldwide Importers,2026-01-19,2026-02-14,2026-02-17,Delivered,47815.1,Backup Warehouse,buyer1,High,Multi-category order,system,2026-01-19 12:55:11
6,PO-2025-0006,4,Worldwide Importers,2025-12-15,2026-01-07,2026-01-09,Delivered,13507.36,Regional DC,supply_manager,Low,Multi-category order,system,2025-12-15 12:55:11
7,PO-2025-0007,4,Worldwide Importers,2025-12-17,2026-01-11,2026-01-13,Delivered,3116.52,Regional DC,buyer2,Emergency,Multi-category order,system,2025-12-17 12:55:11
8,PO-2026-0008,2,Proseware Inc,2026-01-28,2026-02-11,2026-02-11,Delivered,7719.25,Backup Warehouse,supply_manager,High,Order for Kitchen products,system,2026-01-28 12:55:11
9,PO-2026-0009,4,Worldwide Importers,2026-03-10,2026-03-29,,InTransit,34250.88,Regional DC,buyer1,Low,Multi-category order,system,2026-03-10 12:55:11
10,PO-2026-0010,2,Proseware Inc,2026-01-15,2026-01-25,2026-01-26,Delivered,1686.93,Backup Warehouse,buyer2,Low,Order for Kitchen products,system,2026-01-15 12:55:11
11,PO-2026-0011,1,Contoso Ltd,2026-01-19,2026-01-30,2026-02-01,Delivered,25345.07,Backup Warehouse,supply_manager,Medium,Order for Camping products,system,2026-01-19 12:55:11
12,PO-2026-0012,5,Fabrikam,2026-01-09,2026-01-25,,InTransit,68098.5,Main Warehouse,buyer2,Low,Order for Ski products,system,2026-01-09 12:55:11
13,PO-2025-0013,1,Contoso Ltd,2025-12-20,2025-12-29,2025-12-30,Delivered,17695.66,Main Warehouse,supply_manager,Medium,Order for Camping products,system,2025-12-20 12:55:11
14,PO-2026-0014,2,Proseware Inc,2026-01-12,2026-01-26,2026-01-26,Delivered,6321.86,Backup Warehouse,supply_manager,High,Order for Kitchen products,system,2026-01-12 12:55:11
15,PO-2026-0015,5,Fabrikam,2026-01-04,2026-01-17,2026-01-18,Delivered,11779.5,Backup Warehouse,supply_manager,Low,Order for Ski products,system,2026-01-04 12:55:11
16,PO-2026-0016,4,Worldwide Importers,2026-02-03,2026-03-01,,InTransit,83066.8,Regional DC,supply_manager,Low,Multi-category order,system,2026-02-03 12:55:11
17,PO-2026-0017,1,Contoso Ltd,2026-01-25,2026-02-04,2026-02-05,Delivered,2108.96,Main Warehouse,buyer2,Low,Order for Camping products,system,2026-01-25 12:55:11
18,PO-2026-0018,2,Proseware Inc,2026-01-20,2026-02-01,2026-02-15,Delivered,6949.22,Main Warehouse,buyer1,High,Order for Kitchen products,system,2026-01-20 12:55:11
19,PO-2026-0019,3,Alpine Ski House,2026-01-07,2026-01-18,2026-01-20,Delivered,42644.86,Main Warehouse,buyer1,Low,Order for Ski products,system,2026-01-07 12:55:11
20,PO-2026-0020,1,Contoso Ltd,2026-02-15,2026-03-01,2026-03-04,Delivered,11439.97,Regional DC,supply_manager,Low,Order for Camping products,system,2026-02-15 12:55:11
21,PO-2025-0021,2,Proseware Inc,2025-12-30,2026-01-12,2026-01-13,Delivered,21611.62,Backup Warehouse,buyer2,Low,Order for Kitchen products,system,2025-12-30 12:55:11
22,PO-2026-0022,2,Proseware Inc,2026-02-18,2026-02-26,2026-03-01,Delivered,10696.73,Backup Warehouse,buyer2,Low,Order for Kitchen products,system,2026-02-18 12:55:11
23,PO-2026-0023,1,Contoso Ltd,2026-02-02,2026-02-15,2026-02-17,Delivered,73854.41,Regional DC,buyer2,Low,Order for Camping products,system,2026-02-02 12:55:11
24,PO-2026-0024,5,Fabrikam,2026-02-08,2026-02-25,2026-02-26,Delivered,44593.06,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-02-08 12:55:11
25,PO-2026-0025,2,Proseware Inc,2026-03-07,2026-03-16,,Confirmed,6501.6,Main Warehouse,buyer1,Medium,Order for Kitchen products,system,2026-03-07 12:55:11
26,PO-2026-0026,2,Proseware Inc,2026-01-14,2026-01-29,2026-02-01,Delivered,20227.2,Backup Warehouse,supply_manager,Low,Order for Kitchen products,system,2026-01-14 12:55:11
27,PO-2026-0027,4,Worldwide Importers,2026-03-10,2026-04-03,,InTransit,2307.3,Backup Warehouse,buyer2,Low,Multi-category order,system,2026-03-10 12:55:11
28,PO-2025-0028,5,Fabrikam,2025-12-14,2025-12-26,2025-12-27,Delivered,27299.15,Regional DC,buyer1,Low,Order for Ski products,system,2025-12-14 12:55:11
29,PO-2026-0029,4,Worldwide Importers,2026-03-10,2026-04-02,,Confirmed,67153.15,Regional DC,buyer2,Low,Multi-category order,system,2026-03-10 12:55:11
30,PO-2025-0030,5,Fabrikam,2025-12-27,2026-01-08,2026-01-08,Delivered,23909.89,Main Warehouse,buyer2,Low,Order for Ski products,system,2025-12-27 12:55:11
31,PO-2026-0031,5,Fabrikam,2026-02-09,2026-02-24,2026-02-26,Delivered,32871.09,Regional DC,buyer1,Low,Order for Ski products,system,2026-02-09 12:55:11
