OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
46138282-efd9-4de9-a94b-212ec0602ff9,1,3053,Waterproof Ski Pants,2,249.99,499.98,0.0,43.75
46138282-efd9-4de9-a94b-212ec0602ff9,2,3071,Ski Boot Bag - Premium,2,59.99,119.98,0.0,10.5
259cdacc-47d8-4392-acff-e24f9088f548,1,3012,Mountain Master All-Terrain Skis - 165cm,2,899.99,1799.98,0.0,157.5
259cdacc-47d8-4392-acff-e24f9088f548,2,3051,Insulated Ski Jacket - Men's,1,299.99,299.99,0.0,26.25
05096fc9-5a76-4240-b78a-a785cbefd0cd,1,3081,All-Temp Ski Wax Kit,2,79.99,159.98,0.0,14.0
05096fc9-5a76-4240-b78a-a785cbefd0cd,2,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
05096fc9-5a76-4240-b78a-a785cbefd0cd,3,3104,Ski Tuning Bench - Portable,1,189.99,189.99,0.0,16.62
05096fc9-5a76-4240-b78a-a785cbefd0cd,4,3103,Snowboard Bindings - Pro,2,299.99,599.98,0.0,52.5
b4404a68-8c08-442f-a195-509637e86b85,1,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
b4404a68-8c08-442f-a195-509637e86b85,2,3061,Professional Ski Helmet,1,199.99,199.99,0.0,17.5
b4404a68-8c08-442f-a195-509637e86b85,3,3031,Pro Flex Racing Ski Boots,2,649.99,1299.98,0.0,113.75
b4404a68-8c08-442f-a195-509637e86b85,4,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
6a6bc5a7-d47a-4154-858f-9561dfeb6d53,1,3041,Carbon Fiber Racing Poles - 120cm,2,179.99,359.98,0.0,31.5
6a6bc5a7-d47a-4154-858f-9561dfeb6d53,2,3053,Waterproof Ski Pants,1,249.99,249.99,0.0,21.87
6a6bc5a7-d47a-4154-858f-9561dfeb6d53,3,3091,Freestyle Snowboard - 155cm,2,649.99,1299.98,0.0,113.75
a8ad6144-3e26-45af-8cbd-93659cc843b9,1,3041,Carbon Fiber Racing Poles - 120cm,2,179.99,359.98,0.0,31.5
a8ad6144-3e26-45af-8cbd-93659cc843b9,2,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
a8ad6144-3e26-45af-8cbd-93659cc843b9,3,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
a8ad6144-3e26-45af-8cbd-93659cc843b9,4,3031,Pro Flex Racing Ski Boots,1,649.99,649.99,0.0,56.87
b160823b-a5c6-48d7-8461-3f40c22e9b65,1,3062,Anti-Fog Ski Goggles,2,129.99,259.98,0.0,22.75
b160823b-a5c6-48d7-8461-3f40c22e9b65,2,3051,Insulated Ski Jacket - Men's,1,299.99,299.99,0.0,26.25
b160823b-a5c6-48d7-8461-3f40c22e9b65,3,3082,Edge Tuning Tool Set,1,119.99,119.99,0.0,10.5
b160823b-a5c6-48d7-8461-3f40c22e9b65,4,3082,Edge Tuning Tool Set,2,119.99,239.98,0.0,21.0
34dfd184-70a3-4d1f-958f-26c884d96ee1,1,3011,Alpine Pro Racing Skis - 170cm,1,1299.99,1299.99,0.0,113.75
918b27f1-230e-439f-883c-0aa620111399,1,3033,Women's Performance Ski Boots,2,579.99,1159.98,0.0,101.5
918b27f1-230e-439f-883c-0aa620111399,2,3013,Beginner's Choice Alpine Skis - 160cm,1,449.99,449.99,0.0,39.37
bffb4574-6520-428c-b740-ecca4f54226b,1,3032,Comfort Fit Recreational Boots,1,399.99,399.99,0.0,35.0
982c13b1-3f69-411a-a636-1019e67ee825,1,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
982c13b1-3f69-411a-a636-1019e67ee825,2,3082,Edge Tuning Tool Set,1,119.99,119.99,0.0,10.5
982c13b1-3f69-411a-a636-1019e67ee825,3,3061,Professional Ski Helmet,1,199.99,199.99,0.0,17.5
5289a913-3a86-4f34-95ac-96138ba7aa86,1,3051,Insulated Ski Jacket - Men's,1,299.99,299.99,0.0,26.25
01f3a565-238f-4185-9c63-90777d0f3fd4,1,3041,Carbon Fiber Racing Poles - 120cm,1,179.99,179.99,0.0,15.75
01f3a565-238f-4185-9c63-90777d0f3fd4,2,3101,Winter Boots - Insulated,2,159.99,319.98,0.0,28.0
01f3a565-238f-4185-9c63-90777d0f3fd4,3,3013,Beginner's Choice Alpine Skis - 160cm,2,449.99,899.98,0.0,78.75
ca69b23c-0629-42cc-a64f-4090b18ee571,1,3042,Aluminum All-Mountain Poles - 115cm,2,99.99,199.98,0.0,17.5
1117dcb6-06f3-4ca6-b99a-daa775c93c69,1,3081,All-Temp Ski Wax Kit,1,79.99,79.99,0.0,7.0
