OrderId,SalesChannelId,OrderNumber,CustomerId,CustomerAccountId,OrderDate,OrderStatus,SubTotal,TaxAmount,OrderTotal,PaymentMethod,IsoCurrencyCode,CreatedBy
46138282-efd9-4de9-a94b-212ec0602ff9,Ski,S300000,CID-001,CA-0926,2022-11-19,Completed,619.96,54.25,674.21,AmEx,USD,SampleGen
259cdacc-47d8-4392-acff-e24f9088f548,Ski,S300001,CID-001,CA-0926,2024-07-11,Completed,2099.97,183.75,2283.72,MC,USD,SampleGen
05096fc9-5a76-4240-b78a-a785cbefd0cd,Ski,S300002,CID-001,CA-0926,2022-06-19,Completed,1139.94,99.74,1239.68,VISA,USD,SampleGen
b4404a68-8c08-442f-a195-509637e86b85,Ski,S300003,CID-001,CA-0926,2021-12-02,Completed,3699.93,323.75,4023.68,Discover,USD,SampleGen
6a6bc5a7-d47a-4154-858f-9561dfeb6d53,Ski,S300004,CID-001,CA-0926,2024-03-10,Completed,1909.95,167.12,2077.07,AmEx,USD,SampleGen
a8ad6144-3e26-45af-8cbd-93659cc843b9,Ski,S300005,CID-001,CA-0926,2023-03-01,Shipped,1169.95,102.37,1272.32,MC,USD,SampleGen
b160823b-a5c6-48d7-8461-3f40c22e9b65,Ski,S300006,CID-001,CA-0926,2026-04-02,Cancelled,919.94,80.5,1000.44,PayPal,USD,SampleGen
34dfd184-70a3-4d1f-958f-26c884d96ee1,Ski,S300007,CID-002,CA-0927,2024-02-21,Cancelled,1299.99,113.75,1413.74,VISA,USD,SampleGen
918b27f1-230e-439f-883c-0aa620111399,Ski,S300008,CID-003,CA-0928,2024-02-17,Completed,1609.97,140.87,1750.84,MC,USD,SampleGen
bffb4574-6520-428c-b740-ecca4f54226b,Ski,S300009,CID-003,CA-0928,2023-09-10,Completed,399.99,35.0,434.99,VISA,USD,SampleGen
982c13b1-3f69-411a-a636-1019e67ee825,Ski,S300010,CID-003,CA-0928,2022-10-20,Shipped,399.97,35.0,434.97,VISA,USD,SampleGen
5289a913-3a86-4f34-95ac-96138ba7aa86,Ski,S300011,CID-003,CA-0928,2023-10-19,Completed,299.99,26.25,326.24,VISA,USD,SampleGen
01f3a565-238f-4185-9c63-90777d0f3fd4,Ski,S300012,CID-004,CA-0929,2021-10-24,Completed,1399.95,122.5,1522.45,VISA,USD,SampleGen
ca69b23c-0629-42cc-a64f-4090b18ee571,Ski,S300013,CID-005,CA-0930,2021-10-02,Shipped,199.98,17.5,217.48,PayPal,USD,SampleGen
1117dcb6-06f3-4ca6-b99a-daa775c93c69,Ski,S300014,CID-005,CA-0930,2021-08-29,Completed,79.99,7.0,86.99,PayPal,USD,SampleGen
cdb295fd-4ff6-4496-a8c5-fcfc3a54186c,Ski,S300015,CID-006,CA-0931,2021-05-02,Completed,189.99,16.62,206.61,PayPal,USD,SampleGen
c8650376-5362-497e-8caf-a691ad751cb3,Ski,S300016,CID-006,CA-0931,2022-09-01,Shipped,1099.96,96.25,1196.21,VISA,USD,SampleGen
2712304c-770c-42fa-b755-14a4f99d1adc,Ski,S300017,CID-006,CA-0931,2024-09-13,Completed,1299.98,113.75,1413.73,VISA,USD,SampleGen
e57e7dc2-efa4-40ec-b307-d2886d1879f5,Ski,S300018,CID-006,CA-0931,2021-04-06,Completed,999.95,87.5,1087.45,VISA,USD,SampleGen
6d575230-6503-4aea-8c40-73b31f3a744a,Ski,S300019,CID-006,CA-0931,2022-03-14,Shipped,1899.95,166.24,2066.19,VISA,USD,SampleGen
e7628bb7-aee9-4e20-bc75-3b368afb8645,Ski,S300020,CID-007,CA-0932,2024-11-22,Completed,1499.95,131.25,1631.2,VISA,USD,SampleGen
7535017f-8570-4dfb-88b7-a6c39f295b0d,Ski,S300021,CID-007,CA-0932,2023-03-06,Completed,1809.95,158.37,1968.32,VISA,USD,SampleGen
99f401ad-985a-467b-ba54-1d4432d91cd9,Ski,S300022,CID-008,CA-0933,2025-07-20,Pending,689.95,60.36,750.31,PayPal,USD,SampleGen
adb033d7-ae12-4566-9ccb-daaec5591499,Ski,S300023,CID-008,CA-0933,2023-07-24,Completed,949.98,83.12,1033.1,VISA,USD,SampleGen
364ab31e-e480-4d2d-b6a6-b6105ad0b2ab,Ski,S300024,CID-008,CA-0933,2025-09-30,Completed,619.96,54.25,674.21,PayPal,USD,SampleGen
7f37a120-1eba-4afe-af48-2320ef44416d,Ski,S300025,CID-008,CA-0933,2026-04-28,Shipped,2389.94,209.12,2599.06,MC,USD,SampleGen
ac27303f-e4e7-4eb6-aead-0d011b4d7126,Ski,S300026,CID-009,CA-0934,2026-01-22,Completed,579.99,50.75,630.74,VISA,USD,SampleGen
20f2ce53-e702-4651-bcaf-d145aa509a48,Ski,S300027,CID-010,CA-0935,2024-10-27,Shipped,1599.93,140.0,1739.93,MC,USD,SampleGen
8bde0b98-65d8-4d2e-adf2-8e4328b55b10,Ski,S300028,CID-010,CA-0935,2023-01-06,Cancelled,899.98,78.75,978.73,Discover,USD,SampleGen
