InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
6c0c495b-49fd-4bce-a713-625c936cc9a0,IN-F100000,CID-001,0a69cf61-feab-426f-b66e-e5625d82b7f4,2025-01-21,2025-01-21,179.98,15.75,195.73,Issued,SampleGen
3355c465-1b9e-4318-9bf7-bb4d522fa518,IN-F100001,CID-001,f9cb7c4c-6a0a-4abe-81b6-ef8974403d4e,2025-02-12,2025-02-12,439.98,38.5,478.48,Issued,SampleGen
41fdfc9b-01f4-4773-8562-63c01c6b3d45,IN-F100002,CID-001,072d8bc3-7316-4f0c-a0ce-9e51fb614135,2025-03-24,2025-03-24,1659.94,145.24,1805.18,Issued,SampleGen
21bdf966-0bb8-430f-b607-d9b6bf625bb8,IN-F100003,CID-001,229f1bbb-e0ad-4bc3-9bad-98b5eb6174ac,2025-04-10,2025-04-10,739.96,64.75,804.71,Issued,SampleGen
0fa1441f-b183-4b70-b530-03b2a52da3c9,IN-F100004,CID-001,426df6e8-99f9-4521-9efb-5570f7b3e098,2025-05-05,2025-05-05,379.98,33.25,413.23,Issued,SampleGen
bca0c6c6-b83f-4015-b4ab-983fcfec1832,IN-F100005,CID-001,3e2c91ff-1c27-411a-9b1b-71221746a8b0,2025-06-29,2025-06-29,424.96,37.18,462.14,Issued,SampleGen
54377b0e-e94a-42cd-90e0-47669ee358dd,IN-F100006,CID-001,d8d508d8-99c2-40af-9e59-6178bc4c9ef7,2025-07-04,2025-07-04,639.96,55.99,695.95,Issued,SampleGen
117c8fca-913a-4b2a-9fed-d548e875e162,IN-F100007,CID-001,5fb612ec-bfe4-46e1-8ca0-4db57e5c515b,2025-08-15,2025-08-15,1509.95,132.12,1642.07,Issued,SampleGen
4c6f4c42-61ee-43a6-b4f2-55207b529131,IN-F100008,CID-001,eb9c58db-1dac-44da-bf87-6cc012636f42,2025-09-25,2025-09-25,989.93,86.62,1076.55,Issued,SampleGen
63e732e8-c1ba-485d-916d-f0a3c9e79d53,IN-F100009,CID-001,d4b50577-65f5-4bc9-b5ed-82ea19565c9b,2025-10-28,2025-10-28,584.93,51.17,636.1,Issued,SampleGen
ce381221-baec-4974-b41b-45b2df984847,IN-F100010,CID-001,125cddeb-0045-48dd-9c50-2bfbefd017b4,2025-11-13,2025-11-13,769.94,67.36,837.3,Issued,SampleGen
b019b40b-0241-4670-8d3c-1e12de47031a,IN-F100011,CID-001,6c041666-cfe4-4a52-bea0-c1dc294405c3,2025-12-04,2025-12-04,1034.95,90.55,1125.5,Issued,SampleGen
89859466-7204-4bfd-9025-ae2ce34ccc9a,IN-F100012,CID-001,e0a864e8-6460-4f2c-911d-69e719aab8be,2025-12-27,2025-12-27,969.92,84.86,1054.78,Issued,SampleGen
bea058e4-e1d2-4405-94d5-20aeee175dd1,IN-F100013,CID-001,ecf72aa2-0fb2-4f1e-95cc-e28a79e28466,2025-12-31,2025-12-31,2429.9,212.61,2642.51,Issued,SampleGen
d7cb6341-c611-4af2-8924-ed63d147f4e6,IN-F100014,CID-001,1a642ca3-1d9c-445a-9883-f36157472852,2026-01-29,2026-01-29,504.97,44.19,549.16,Issued,SampleGen
a6a22968-8927-44ed-a2d2-114911724700,IN-F100015,CID-001,17ce7425-0604-41d6-abe8-d1c2ffd2c672,2026-02-16,2026-02-16,1019.94,89.24,1109.18,Issued,SampleGen
8b003c12-802f-4f48-a8a1-b706180d3912,IN-F100016,CID-001,3f031360-a926-4b58-8792-f86846c660b1,2026-02-16,2026-02-16,919.94,80.49,1000.43,Issued,SampleGen
5a21c21b-8818-4e9d-8814-2099f66f00a9,IN-F100017,CID-001,1ecbacdf-cf85-41c8-bac0-335385a60153,2026-03-11,2026-03-11,2419.89,211.74,2631.63,Issued,SampleGen
1be92ca7-0679-4fb5-b1b9-fc4fd26b93a3,IN-F100018,CID-001,50de9922-7563-499d-812b-f7e9f6933fdc,2026-03-29,2026-03-29,2219.92,194.24,2414.16,Issued,SampleGen
043924c7-966c-4006-95ee-c7d17c9c64a8,IN-F100019,CID-002,bd07a058-3c6d-46fd-96f0-39443d49e098,2025-01-06,2025-01-06,729.92,63.86,793.78,Issued,SampleGen
394e40a7-c3fc-4a1a-94bb-7903edd554dc,IN-F100020,CID-002,f1d57f22-54d6-47ab-844a-c889fe9ba102,2025-02-21,2025-02-21,269.97,23.62,293.59,Issued,SampleGen
297da2ef-4624-4096-9a97-e62b5de8c02d,IN-F100021,CID-002,e4ce1445-0482-422b-942c-5750568039c5,2025-03-18,2025-03-18,329.96,28.87,358.83,Issued,SampleGen
6fb480b6-bbd3-4569-a0ba-7310047403ac,IN-F100022,CID-002,c3d0ca4b-c537-41f8-988c-112f8388552a,2025-04-11,2025-04-11,909.94,79.61,989.55,Issued,SampleGen
a216587c-aae6-4dc7-a817-ddd1f90af111,IN-F100023,CID-002,4f6d6468-8f75-4441-b395-6a4422743f6a,2025-05-10,2025-05-10,2339.93,204.74,2544.67,Issued,SampleGen
ecfb3fe5-9fd8-4f2a-9f38-adc3b414fb9e,IN-F100024,CID-002,ec10baab-d36e-4d70-b9b7-d90e162b8832,2025-06-09,2025-06-09,1409.93,123.37,1533.3,Issued,SampleGen
bb5aa54e-2b8c-4063-9d4b-f4fa2d9532ac,IN-F100025,CID-002,00adeb4b-2e70-418e-9449-4b7f94edc88c,2025-07-29,2025-07-29,1229.94,107.62,1337.56,Issued,SampleGen
283adc27-5190-4b6a-9a25-30e989d908e7,IN-F100026,CID-002,780507b6-2fb3-40b1-8de5-3283b7a668b6,2025-08-22,2025-08-22,1154.92,101.06,1255.98,Issued,SampleGen
a29003a3-dae0-4096-82b3-0ec398350b58,IN-F100027,CID-002,2b245a0a-22c0-4ffd-9004-bee10372f43f,2025-09-13,2025-09-13,509.97,44.62,554.59,Issued,SampleGen
d7ea38c7-5fd6-4a7d-970f-2be43bbe3ecd,IN-F100028,CID-002,95ef6284-a15c-4705-b855-ec5280d273dc,2025-10-22,2025-10-22,169.98,14.87,184.85,Issued,SampleGen
89fa15fe-5e7b-49aa-a3c8-d3862faddd29,IN-F100029,CID-002,0dc665f6-802f-4700-a25a-064668f2067e,2025-11-10,2025-11-10,1549.94,135.62,1685.56,Issued,SampleGen
653d7711-ea3f-4455-9229-aba0d924ec25,IN-F100030,CID-002,3b328054-1494-4938-a150-8b0c28a9e793,2025-12-26,2025-12-26,339.98,29.74,369.72,Issued,SampleGen
d0e8507e-0396-46fe-99fa-8d00514f6151,IN-F100031,CID-002,c646afb0-3407-42de-bd1c-d110d5a784f3,2026-01-07,2026-01-07,879.93,76.99,956.92,Issued,SampleGen
676736cc-7f4e-4208-8552-9e604e4f60a5,IN-F100032,CID-002,fabdc13b-5754-4a4a-a314-41424f4d667e,2026-02-21,2026-02-21,489.97,42.87,532.84,Issued,SampleGen
ccd2ddcb-7fc9-4315-854f-1b0a5b890190,IN-F100033,CID-002,869da6d1-8761-4c1e-945c-c75d85323d0e,2026-03-11,2026-03-11,1689.95,147.87,1837.82,Issued,SampleGen
ef86f697-609a-4368-b815-68366e7520eb,IN-F100034,CID-003,0a317d1a-2a5d-43f3-8aea-a9aa35c95ff1,2025-01-28,2025-01-28,179.98,15.75,195.73,Issued,SampleGen
31112e9a-642b-445c-a70b-5df587e896d8,IN-F100035,CID-003,722f67c7-01fc-49e4-b832-112206845341,2025-02-07,2025-02-07,849.95,74.37,924.32,Issued,SampleGen
048bed17-3514-4ae9-aa37-197be4276c7b,IN-F100036,CID-003,a9ac4409-09e4-42e9-a591-2e123f40e907,2025-03-19,2025-03-19,869.95,76.12,946.07,Issued,SampleGen
8039a18f-712c-4d11-ba67-1ff1b1efbcd3,IN-F100037,CID-003,5259fdac-8000-4706-9bd4-66cb991c44b4,2025-04-24,2025-04-24,269.97,23.62,293.59,Issued,SampleGen
77f97459-b0b2-41ed-bdfc-bd565c5756a5,IN-F100038,CID-003,67e1a76f-ad3f-47b4-ad61-8ca3803e23de,2025-05-25,2025-05-25,390.98,34.21,425.19,Issued,SampleGen
98105ea9-01ee-4128-8f41-475dc12bcefe,IN-F100039,CID-003,b65e3403-d982-4b16-baef-76a8b767b4a6,2025-06-20,2025-06-20,919.94,80.49,1000.43,Issued,SampleGen
d7905974-20b3-4c24-b175-8901fcd21333,IN-F100040,CID-003,4b03731a-81b1-48ed-ae54-bc5153a1ed1d,2025-07-25,2025-07-25,414.96,36.3,451.26,Issued,SampleGen
f89ae0c9-7b06-4e31-99cd-708b574ead41,IN-F100041,CID-003,d6dde44e-c0ee-4898-acd0-1d00dee1847d,2025-08-13,2025-08-13,1679.94,146.99,1826.93,Issued,SampleGen
e1872052-fa1f-4abe-aedc-d81900c3032c,IN-F100042,CID-003,fab95453-0b0a-46f2-9763-211a7ead212f,2025-09-21,2025-09-21,494.94,43.3,538.24,Issued,SampleGen
7910d88c-1913-404b-bef1-be075e553c88,IN-F100043,CID-003,7eb90b23-906c-4fee-9451-6179fea4dc3e,2025-10-29,2025-10-29,1889.88,165.36,2055.24,Issued,SampleGen
664f9675-2b4f-4007-ada5-4dcc9e976b56,IN-F100044,CID-003,fb972662-941f-445c-9154-1c7fa4bef10e,2025-11-11,2025-11-11,179.99,15.75,195.74,Issued,SampleGen
b1941be0-1fe3-41ae-b3aa-c8822f686c83,IN-F100045,CID-003,403f7eed-30a1-41ee-b395-b1b8eb324f58,2025-12-26,2025-12-26,539.97,47.25,587.22,Issued,SampleGen
c4414272-608c-4baa-8dce-a629ffa55f36,IN-F100046,CID-003,da9a73bb-caf2-4749-9f14-1e9386829d22,2026-01-05,2026-01-05,369.97,32.37,402.34,Issued,SampleGen
606148a8-fff5-4615-b2fc-159e0e3ef25c,IN-F100047,CID-003,47e83fd0-5528-4f9c-8e2a-29bd84501b9c,2026-02-27,2026-02-27,429.97,37.62,467.59,Issued,SampleGen
524f4242-9a88-4ec4-ae62-1f0ba1f2a78f,IN-F100048,CID-003,534233b4-8991-4efd-a365-03bf3067661b,2026-03-21,2026-03-21,1139.92,99.74,1239.66,Issued,SampleGen
09a659c3-22b1-45f6-8e39-427200ec0b3a,IN-F100049,CID-004,a22c739b-e5d7-4ecb-aed3-4029b705bf94,2025-01-29,2025-01-29,549.98,48.12,598.1,Issued,SampleGen
23904dec-0e24-49dd-a4d2-c935b3d5f2fd,IN-F100050,CID-004,99017979-8717-4bc7-b3d8-f00050fd6750,2025-02-10,2025-02-10,509.97,44.62,554.59,Issued,SampleGen
9c7660e4-1fb0-44dc-a50f-1c7bfde5fad7,IN-F100051,CID-004,3c37eaa5-17fa-46d0-abff-674d48c5d330,2025-03-21,2025-03-21,239.97,21.0,260.97,Issued,SampleGen
758cb6e1-b7f8-4fe5-bd56-c4bdae3cd3d4,IN-F100052,CID-004,c7513ef9-58e6-43a9-befc-0b2dd1e6856b,2025-04-04,2025-04-04,1189.91,104.11,1294.02,Issued,SampleGen
eb5f4ba0-25ea-4e05-b9ec-6d4f61cc9939,IN-F100053,CID-004,db61e502-a626-433b-a768-7b176d203f1e,2025-05-22,2025-05-22,389.97,34.12,424.09,Issued,SampleGen
5575c115-27a4-4bf1-a3a8-fd4d3ffa512c,IN-F100054,CID-004,48157c9a-a825-403b-b5cd-bbc29b581f1e,2025-06-02,2025-06-02,874.94,76.55,951.49,Issued,SampleGen
85242c5a-e91d-4c2c-8ce8-fce653d5a977,IN-F100055,CID-004,97a7e577-32aa-475d-9a36-9f697a4d074e,2025-07-15,2025-07-15,1364.91,119.43,1484.34,Issued,SampleGen
84f8edb9-9c3b-44ca-ad90-b7098a31a2e5,IN-F100056,CID-004,d86c527f-3a5f-4573-8f31-0a9f82dade9c,2025-08-19,2025-08-19,534.95,46.8,581.75,Issued,SampleGen
a09ab6cb-f27c-494f-b2ad-9e64d8117dcf,IN-F100057,CID-004,21e41fd3-cd88-4015-8d52-c8b234176eb9,2025-09-05,2025-09-05,919.95,80.5,1000.45,Issued,SampleGen
9b0232a4-06e9-4658-8e8d-005e06b46f47,IN-F100058,CID-004,0a3ac890-3773-42b9-96ac-6683394bb1e5,2025-10-12,2025-10-12,759.94,66.49,826.43,Issued,SampleGen
bee64aac-1088-4bb6-99d6-19a3e21a939e,IN-F100059,CID-004,4a8d97bb-eae7-45f7-a7aa-a898471b9125,2025-11-07,2025-11-07,1239.95,108.5,1348.45,Issued,SampleGen
2ddf27d8-e40f-4549-bbbf-16350289d7f4,IN-F100060,CID-004,ef2a8a26-e254-4182-8780-ea113e9fc89c,2025-12-02,2025-12-02,179.98,15.74,195.72,Issued,SampleGen
f6ba671a-94c4-46f8-b953-cb3f4bf86c82,IN-F100061,CID-004,def3ac45-b270-4c1a-88ad-57f6e24cbd8c,2026-01-24,2026-01-24,149.98,13.12,163.1,Issued,SampleGen
2dde0c75-75aa-49a3-935e-5b89c2318cd0,IN-F100062,CID-004,43fc0c03-160e-4354-9eb4-3b99dae04594,2026-02-24,2026-02-24,74.99,6.56,81.55,Issued,SampleGen
8c0a82b1-5862-446f-a8b4-7457ce470aba,IN-F100063,CID-004,ffc029f1-556b-4b1d-adfb-9894cc777453,2026-03-08,2026-03-08,789.97,69.12,859.09,Issued,SampleGen
786a1d1f-92b6-4969-82dc-38ace755020a,IN-F100064,CID-005,232794df-e8f3-45b2-a010-146e63f573fc,2025-01-11,2025-01-11,339.98,29.75,369.73,Issued,SampleGen
03078354-3025-4536-b8ae-915bae7fe871,IN-F100065,CID-005,2de3c4d3-2963-4776-b81a-9c75ceae59c6,2025-02-18,2025-02-18,1144.94,100.18,1245.12,Issued,SampleGen
aa945c76-26d7-4135-b2fb-292c2f2a08b6,IN-F100066,CID-005,07848c92-a379-457e-ba03-256ff8b49183,2025-03-07,2025-03-07,839.95,73.49,913.44,Issued,SampleGen
