PurchaseOrderItemID,PurchaseOrderID,PurchaseOrderNumber,ProductID,ProductName,ProductCategory,QuantityOrdered,QuantityReceived,UnitCost,LineTotal,Status,ExpectedDate,ReceivedDate,Notes,CreatedBy,CreatedDate
1,1,PO-2026-0001,2081,Food Storage Set,General,33,,134.37,4434.21,Shipped,2026-03-20,,Supplier SKU: WOR-2081,system,2026-02-20 12:44:55
2,13,PO-2026-0013,1563,CompactCook Camping Stove,General,2,,31.36,62.72,Pending,2026-03-05,,Supplier SKU: WOR-1563,system,2026-02-02 12:44:55
3,13,PO-2026-0013,2012,Espresso Machine,General,32,,223.22,7143.04,Pending,2026-03-05,,Supplier SKU: WOR-2012,system,2026-02-02 12:44:55
4,13,PO-2026-0013,2081,Food Storage Set,General,20,,134.37,2687.4,Pending,2026-03-05,,Supplier SKU: WOR-2081,system,2026-02-02 12:44:55
5,13,PO-2026-0013,3022,Backcountry Explorer XC Skis - 190cm,General,17,,191.82,3260.94,Pending,2026-03-05,,Supplier SKU: WOR-3022,system,2026-02-02 12:44:55
6,20,PO-2025-0020,3022,Backcountry Explorer XC Skis - 190cm,General,21,21.0,191.82,4028.22,Received,2026-01-09,2026-01-12,Supplier SKU: WOR-3022,system,2025-12-14 12:44:55
7,20,PO-2025-0020,2121,Bamboo Cutting Board Set,General,31,26.0,30.18,935.58,Backordered,2026-01-09,2026-01-12,Supplier SKU: WOR-2121,system,2025-12-14 12:44:55
8,20,PO-2025-0020,2081,Food Storage Set,General,13,13.0,134.37,1746.81,Received,2026-01-09,2026-01-12,Supplier SKU: WOR-2081,system,2025-12-14 12:44:55
9,20,PO-2025-0020,1553,Adventure Dining Table,General,153,153.0,55.74,8528.22,Received,2026-01-09,2026-01-12,Supplier SKU: WOR-1553,system,2025-12-14 12:44:55
10,27,PO-2026-0027,2012,Espresso Machine,General,72,,223.22,16071.84,Pending,2026-03-31,,Supplier SKU: WOR-2012,system,2026-03-01 12:44:55
11,27,PO-2026-0027,3102,Winter Hiking Boots - Waterproof,General,193,,306.61,59175.73,Pending,2026-03-31,,Supplier SKU: WOR-3102,system,2026-03-01 12:44:55
12,27,PO-2026-0027,1563,CompactCook Camping Stove,General,5,,31.36,156.8,Pending,2026-03-31,,Supplier SKU: WOR-1563,system,2026-03-01 12:44:55
13,27,PO-2026-0027,2081,Food Storage Set,General,36,,134.37,4837.32,Pending,2026-03-31,,Supplier SKU: WOR-2081,system,2026-03-01 12:44:55
14,27,PO-2026-0027,1553,Adventure Dining Table,General,188,,55.74,10479.12,Pending,2026-03-31,,Supplier SKU: WOR-1553,system,2026-03-01 12:44:55
15,36,PO-2025-0036,2121,Bamboo Cutting Board Set,General,39,32.0,30.18,1177.02,Backordered,2026-01-12,2026-01-14,Supplier SKU: WOR-2121,system,2025-12-11 12:44:55
16,45,PO-2026-0045,2012,Espresso Machine,General,96,,223.22,21429.12,Shipped,2026-03-06,,Supplier SKU: WOR-2012,system,2026-02-05 12:44:55
17,45,PO-2026-0045,1563,CompactCook Camping Stove,General,5,,31.36,156.8,Shipped,2026-03-06,,Supplier SKU: WOR-1563,system,2026-02-05 12:44:55
18,45,PO-2026-0045,1553,Adventure Dining Table,General,198,,55.74,11036.52,Shipped,2026-03-06,,Supplier SKU: WOR-1553,system,2026-02-05 12:44:55
19,46,PO-2026-0046,2121,Bamboo Cutting Board Set,General,19,,30.18,573.42,Pending,2026-03-18,,Supplier SKU: WOR-2121,system,2026-02-19 12:44:55
20,46,PO-2026-0046,2081,Food Storage Set,General,41,,134.37,5509.17,Pending,2026-03-18,,Supplier SKU: WOR-2081,system,2026-02-19 12:44:55
21,46,PO-2026-0046,3102,Winter Hiking Boots - Waterproof,General,94,,306.61,28821.34,Pending,2026-03-18,,Supplier SKU: WOR-3102,system,2026-02-19 12:44:55
22,46,PO-2026-0046,1553,Adventure Dining Table,General,249,,55.74,13879.26,Pending,2026-03-18,,Supplier SKU: WOR-1553,system,2026-02-19 12:44:55
23,46,PO-2026-0046,2012,Espresso Machine,General,43,,223.22,9598.46,Pending,2026-03-18,,Supplier SKU: WOR-2012,system,2026-02-19 12:44:55
