InvoiceId,InvoiceNumber,CustomerId,CustomerAccountId,InvoiceDate,DueDate,InvoiceAmount,IsoCurrencyCode,CreatedBy
INV-2dc53611-68e3-4732-b61d-3294aad5a116,ID200000,CID-001,CA-0002,2025-01-08,2025-02-07,1621.62,USD,SampleGen
INV-e7cdb95c-a012-44fc-8f85-bd0f4f7ad27e,ID200001,CID-001,CA-0002,2025-02-16,2025-03-18,5562.64,USD,SampleGen
INV-b04f83d7-7f22-4848-a98d-9956f8825910,ID200002,CID-001,CA-0002,2025-02-03,2025-03-05,4142.26,USD,SampleGen
INV-4ace53d6-c464-4dd2-a91c-c9957c08ac82,ID200003,CID-001,CA-0002,2025-03-06,2025-04-05,1791.22,USD,SampleGen
INV-5821da2b-01d7-4ce1-9d29-110c083516ef,ID200004,CID-001,CA-0002,2025-03-10,2025-04-09,3137.46,USD,SampleGen
INV-3690f5c1-6662-4ac4-bdcf-df815aeeb285,ID200005,CID-001,CA-0002,2025-03-22,2025-04-21,1161.52,USD,SampleGen
INV-66db676f-262b-4669-8d51-d55b2fb66164,ID200006,CID-001,CA-0002,2025-04-12,2025-05-12,1148.84,USD,SampleGen
INV-ef021c14-6f34-4adf-b4ba-4d47df105968,ID200007,CID-001,CA-0002,2025-04-30,2025-05-30,2819.4,USD,SampleGen
INV-d21a1283-38d9-4700-86a6-39e42230a4db,ID200008,CID-001,CA-0002,2025-04-21,2025-05-21,1148.76,USD,SampleGen
INV-7d4d8ded-fa95-4dcb-aa24-677bed9d4a10,ID200009,CID-001,CA-0002,2025-05-03,2025-06-02,1778.54,USD,SampleGen
INV-a77a120f-83f2-42af-a838-334630de7cde,ID200010,CID-001,CA-0002,2025-05-27,2025-06-26,1969.25,USD,SampleGen
INV-e919e282-e6a7-462f-8feb-e6c9c8fd927a,ID200011,CID-001,CA-0002,2025-05-04,2025-06-03,1335.38,USD,SampleGen
INV-68c1a5d0-d933-46f2-9b9c-c97e10ec67a1,ID200012,CID-001,CA-0002,2025-06-09,2025-07-09,1114.92,USD,SampleGen
INV-f2585423-fda8-4f6a-9c71-28704c9a1352,ID200013,CID-001,CA-0002,2025-07-15,2025-08-14,4010.84,USD,SampleGen
INV-8a3ef836-184c-4bdb-b80c-7246f80041c0,ID200014,CID-001,CA-0002,2025-08-10,2025-09-09,563.76,USD,SampleGen
INV-3b89c2c0-3dbd-4618-bbba-3d2b7ef0ebf5,ID200015,CID-001,CA-0002,2025-08-17,2025-09-16,3824.22,USD,SampleGen
INV-c00723ac-7be4-4ba8-8ae3-adbab86c1f3a,ID200016,CID-001,CA-0002,2025-09-06,2025-10-06,826.68,USD,SampleGen
INV-37791c48-1c11-4179-bdfb-adfdca46b696,ID200017,CID-001,CA-0002,2025-09-13,2025-10-13,896.54,USD,SampleGen
INV-9f14bc5b-4a7b-4f0c-b7fb-5db225f34673,ID200018,CID-001,CA-0002,2025-10-18,2025-11-17,2094.38,USD,SampleGen
INV-4e7b4e57-d81b-45cf-9ce2-37c3e502e05b,ID200019,CID-001,CA-0002,2025-10-15,2025-11-14,3981.16,USD,SampleGen
INV-7c68a608-1083-433e-9ff7-ca2fe6cf84aa,ID200020,CID-001,CA-0002,2025-11-08,2025-12-08,1808.12,USD,SampleGen
INV-579c1063-2df7-4bc9-b8ff-74c1c1671ab0,ID200021,CID-001,CA-0002,2025-11-22,2025-12-22,3006.02,USD,SampleGen
INV-f62ca003-1b16-40e5-adec-47c876d307f4,ID200022,CID-001,CA-0002,2025-11-12,2025-12-12,627.42,USD,SampleGen
INV-0c1643c1-e5e9-46ea-a3aa-c1ab751f2d4d,ID200023,CID-001,CA-0002,2025-11-13,2025-12-13,2234.36,USD,SampleGen
INV-e762c254-879b-46e2-9bb7-884cb109bf38,ID200024,CID-001,CA-0002,2026-01-01,2026-01-31,4243.96,USD,SampleGen
INV-a279a3dc-2800-42be-94f3-d7efa43808a7,ID200025,CID-001,CA-0002,2025-12-13,2026-01-12,1307.86,USD,SampleGen
INV-8116e141-01eb-41d5-9532-dd79c2fa32bc,ID200026,CID-001,CA-0002,2025-12-18,2026-01-17,6800.72,USD,SampleGen
INV-b5db70ee-7abb-4207-a9c4-1bf6690e3345,ID200027,CID-001,CA-0002,2025-12-18,2026-01-17,250.06,USD,SampleGen
INV-876fdead-ae7e-4bb9-bb3b-393b81afe6df,ID200028,CID-001,CA-0002,2025-12-27,2026-01-26,474.76,USD,SampleGen
INV-5835f530-885f-4b39-8388-f1053e0fba0f,ID200029,CID-001,CA-0002,2025-12-17,2026-01-16,892.3,USD,SampleGen
INV-350a2230-ecf1-478a-a035-4c0cd13a97f4,ID200030,CID-001,CA-0002,2025-12-07,2026-01-06,4375.52,USD,SampleGen
INV-6538fef2-bf20-4ab5-8b7f-30e20d0af9f4,ID200031,CID-001,CA-0002,2025-12-29,2026-01-28,3892.16,USD,SampleGen
INV-434484cf-c264-49c2-9639-b841c11c4ce8,ID200032,CID-001,CA-0002,2026-01-16,2026-02-15,3429.94,USD,SampleGen
INV-1187fe86-827b-492b-a8cc-eab6215ed8ee,ID200033,CID-001,CA-0002,2026-01-29,2026-02-28,353.94,USD,SampleGen
INV-b4d85798-a8f2-4ff5-afba-f53236edfc79,ID200034,CID-001,CA-0002,2026-01-16,2026-02-15,4481.46,USD,SampleGen
INV-d28e67b7-0a1a-4967-a720-74e6f7402f47,ID200035,CID-001,CA-0002,2026-02-03,2026-03-05,4515.5,USD,SampleGen
INV-e79b892e-586d-4b70-997f-5f2818fd9a44,ID200036,CID-001,CA-0002,2026-02-14,2026-03-16,1250.62,USD,SampleGen
INV-e0992dae-f731-4529-ad30-6a62de5b7c4e,ID200037,CID-001,CA-0002,2026-02-13,2026-03-15,3718.36,USD,SampleGen
INV-02952763-bbcf-40ce-941b-31f3b676725c,ID200038,CID-001,CA-0002,2026-02-18,2026-03-20,1920.48,USD,SampleGen
INV-48a0dcb1-14d5-44a8-bdb0-85e11509294e,ID200039,CID-001,CA-0002,2026-02-25,2026-03-27,2077.5,USD,SampleGen
INV-ba762a73-b4fe-4bc2-b65f-08dd8943563e,ID200040,CID-001,CA-0002,2026-02-17,2026-03-19,4214.36,USD,SampleGen
INV-bce437a5-85b9-43c1-8223-66326e417921,ID200041,CID-001,CA-0002,2026-03-19,2026-04-18,1059.86,USD,SampleGen
INV-94c9f762-bdc5-4d02-bb64-655624aa64ac,ID200042,CID-001,CA-0002,2026-03-30,2026-04-29,6771.0,USD,SampleGen
INV-2788b5a7-51cf-49e7-a04e-f11fcf9b9507,ID200043,CID-001,CA-0002,2026-03-13,2026-04-12,3646.16,USD,SampleGen
INV-57561d38-ed50-4250-a214-44fff19511ef,ID200044,CID-001,CA-0002,2026-03-30,2026-04-29,1216.6,USD,SampleGen
INV-824076bc-1631-42f4-9a82-f2c9ebb556bc,ID200045,CID-001,CA-0002,2026-03-27,2026-04-26,3063.24,USD,SampleGen
INV-2fc3c4c0-fd98-4e0b-8eda-7df58f73c160,ID200046,CID-001,CA-0002,2026-03-08,2026-04-07,2904.3,USD,SampleGen
INV-36029ed2-3036-4f30-978d-2f9b26a8bc3f,ID200047,CID-001,CA-0002,2026-03-07,2026-04-06,3837.04,USD,SampleGen
INV-2eb7e127-918a-4769-9d0b-d3ea79520eb3,ID200048,CID-002,CA-0004,2025-01-18,2025-02-17,1432.98,USD,SampleGen
INV-592cc0bb-57b0-4036-af65-0b33b6704d01,ID200049,CID-002,CA-0004,2025-04-28,2025-05-28,1820.94,USD,SampleGen
INV-5f5f8967-a2ad-4b32-8c8e-a1415b4de0a1,ID200050,CID-002,CA-0004,2025-09-22,2025-10-22,1704.22,USD,SampleGen
INV-493a2c10-e5c5-4ee8-927a-7065812c281c,ID200051,CID-002,CA-0004,2025-12-15,2026-01-14,3188.3,USD,SampleGen
INV-c8609081-355c-402b-9b79-23d030474df4,ID200052,CID-003,CA-0006,2025-01-20,2025-02-19,648.64,USD,SampleGen
INV-add12456-5aaf-4503-b6a4-0137c135a148,ID200053,CID-003,CA-0006,2025-02-03,2025-03-05,8322.86,USD,SampleGen
INV-3a26a8b5-fb1c-4e61-91fa-354455812cf7,ID200054,CID-003,CA-0006,2025-03-15,2025-04-14,1360.82,USD,SampleGen
INV-ed293738-4aa2-4561-bf3e-d18ab9ae16fc,ID200055,CID-003,CA-0006,2025-03-06,2025-04-05,3243.36,USD,SampleGen
INV-98ac5e9d-44dd-42c3-934e-b42179d05f22,ID200056,CID-003,CA-0006,2025-04-03,2025-05-03,1074.64,USD,SampleGen
INV-4df68acc-bb0f-4245-bf66-dd66602d67b8,ID200057,CID-003,CA-0006,2025-05-29,2025-06-28,2586.24,USD,SampleGen
INV-b7151bad-3870-4eb6-9c89-8c34f0a8de55,ID200058,CID-003,CA-0006,2025-05-29,2025-06-28,4277.98,USD,SampleGen
INV-75ad7656-4b2b-449a-84e8-403f502787d7,ID200059,CID-003,CA-0006,2025-06-05,2025-07-05,941.08,USD,SampleGen
INV-d6798f77-a8c4-4171-9923-7e298166c50f,ID200060,CID-003,CA-0006,2025-08-11,2025-09-10,7434.62,USD,SampleGen
INV-a950327b-567b-49a5-8642-16ba7a9d383c,ID200061,CID-003,CA-0006,2025-09-12,2025-10-12,934.7,USD,SampleGen
INV-88fb6858-54fa-4205-b00a-40d5e3c63470,ID200062,CID-003,CA-0006,2025-10-04,2025-11-03,4057.42,USD,SampleGen
INV-844289a2-c1d0-44f9-bb1b-d881caef953a,ID200063,CID-003,CA-0006,2025-11-21,2025-12-21,4750.64,USD,SampleGen
INV-e57586fb-7d18-42d8-8cbf-0abd28156e3f,ID200064,CID-003,CA-0006,2025-11-05,2025-12-05,5882.74,USD,SampleGen
INV-28261f7a-b5c8-40aa-900d-03022ceebfe2,ID200065,CID-003,CA-0006,2025-12-21,2026-01-20,2329.62,USD,SampleGen
INV-369f9ceb-13aa-4608-a1e0-3759b32c2390,ID200066,CID-003,CA-0006,2025-12-22,2026-01-21,1780.68,USD,SampleGen
INV-7245f8bd-1a33-4c1a-b967-5cbf1a9de55f,ID200067,CID-003,CA-0006,2025-12-09,2026-01-08,4725.32,USD,SampleGen
INV-dca95f0b-9c08-4912-aa07-aa92173745f8,ID200068,CID-003,CA-0006,2026-01-07,2026-02-06,1678.8,USD,SampleGen
INV-a8a401d5-c74e-4bb0-9276-b579387d934b,ID200069,CID-003,CA-0006,2026-02-23,2026-03-25,3758.48,USD,SampleGen
INV-fa8ee67e-c023-461f-bb63-33db9aa46995,ID200070,CID-003,CA-0006,2026-02-19,2026-03-21,2166.46,USD,SampleGen
INV-db55ddd5-3e77-4e62-93a9-904f41efaaf4,ID200071,CID-003,CA-0006,2026-03-29,2026-04-28,4350.06,USD,SampleGen
INV-1000a65b-9768-4b1e-a80a-793e18ccba5c,ID200072,CID-003,CA-0006,2026-03-24,2026-04-23,2611.76,USD,SampleGen
INV-a0368fe4-44a0-4dc2-8850-f2ba338b873d,ID200073,CID-003,CA-0006,2026-03-27,2026-04-26,644.34,USD,SampleGen
INV-7075e918-7dfa-4ebe-a56c-eb7b03c90e00,ID200074,CID-004,CA-0008,2025-01-09,2025-02-08,574.38,USD,SampleGen
INV-76d1af95-99c2-4f21-afc2-6bbb988d5acf,ID200075,CID-004,CA-0008,2025-03-15,2025-04-14,1522.02,USD,SampleGen
INV-c7858024-a096-4b5c-b9ce-e48d99b48716,ID200076,CID-004,CA-0008,2025-04-12,2025-05-12,1695.88,USD,SampleGen
INV-5c09bd1b-a4b0-46f5-8105-681c355dad5a,ID200077,CID-004,CA-0008,2025-05-23,2025-06-22,3684.3,USD,SampleGen
INV-f394734b-8c68-4990-90c0-92cfe0e6a942,ID200078,CID-004,CA-0008,2025-08-04,2025-09-03,661.32,USD,SampleGen
INV-5bb787e3-b2c3-4aa8-bf3e-5d7094c95593,ID200079,CID-004,CA-0008,2025-11-12,2025-12-12,4807.94,USD,SampleGen
INV-6bb45f7c-2511-4418-8053-e16de77fde59,ID200080,CID-004,CA-0008,2025-12-31,2026-01-30,771.48,USD,SampleGen
INV-d42a685a-3860-4007-b5d7-cda0b4397fca,ID200081,CID-004,CA-0008,2025-12-12,2026-01-11,2410.3,USD,SampleGen
INV-4f6b6ae3-6682-4ea0-bf5b-8309103be17a,ID200082,CID-004,CA-0008,2026-01-09,2026-02-08,2743.02,USD,SampleGen
