PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,IsoCurrencyCode,CreatedBy
80f0817b-c595-4bcd-baf5-3a4f5bfc568d,INV-6f1a697c-3a29-49c7-a718-85ef7b36c51a,CID-001,2025-01-04,983.48,PayPal,USD,SampleGen
77e5ddeb-0485-42e1-8069-6f4f7a496d96,INV-d029d487-5e6b-4929-89e2-edd1bf41b136,CID-001,2025-02-07,1632.18,Discover,USD,SampleGen
9b1422ce-1548-454d-8d6e-ad031ac46d4d,INV-ab697b10-21cd-4405-85a5-00f71014628d,CID-001,2025-03-25,483.28,MC,USD,SampleGen
43934288-e47c-4502-baac-3c143b071957,INV-920199aa-56bc-46c1-8b7c-e4a256a8b4e3,CID-001,2025-04-24,5308.24,VISA,USD,SampleGen
56bfd725-122c-4f58-a29b-921e748b25ec,INV-ae4316a3-af83-49d9-a406-4b1882f5b96d,CID-001,2025-04-04,1204.0,MC,USD,SampleGen
144a0951-f9ad-442e-b899-41c942cdd0f1,INV-04a78c21-f0ed-49ab-bfb8-70fc72b2da02,CID-001,2025-05-07,1865.38,Discover,USD,SampleGen
33af8c6e-0bbd-4b95-a815-506da5125ccc,INV-da19de76-7aa2-41d4-a33e-7b37ac733b34,CID-001,2025-05-11,10179.94,MC,USD,SampleGen
fca95edf-8a18-404f-972b-df95f936c0ca,INV-095cf7c4-d83f-4850-8352-870042da5ffb,CID-001,2025-06-09,2772.78,VISA,USD,SampleGen
da602ce3-c747-4945-8ad3-f8d9f26a70b7,INV-46ecf1dc-9179-4301-aefa-1626897679c1,CID-001,2025-07-09,3417.32,MC,USD,SampleGen
4b84217b-a35d-4fc1-afa6-bc5bc7bc9249,INV-acdd4178-88cc-4491-94c4-e5f4fda6d9db,CID-001,2025-08-22,2304.3,VISA,USD,SampleGen
6885e0be-1245-4936-8f28-8e72d418db10,INV-0aea2970-e14a-4bb5-81ed-f4792deb544e,CID-001,2025-09-25,1589.78,AmEx,USD,SampleGen
ea98ec16-98f8-4783-ad04-d6551a982877,INV-c857d08b-3913-44a8-9db5-b4e204d37397,CID-001,2025-10-04,2846.94,VISA,USD,SampleGen
5385943f-7c34-42d5-aad5-3579bb1d781b,INV-d01e7152-6b80-4e1f-bba9-39765b98b3a9,CID-001,2025-11-09,504.42,VISA,USD,SampleGen
3194ffc0-3433-4a3a-936e-9890e17660c9,INV-e13cdf8a-f781-4586-8b21-5ea8101346bd,CID-001,2025-11-10,3760.76,PayPal,USD,SampleGen
045d6539-5b2e-4b56-afe1-da2e8b7e642b,INV-04827ec1-63c1-4bd6-a5b3-336548f68e29,CID-001,2025-12-09,3692.84,VISA,USD,SampleGen
9cce5209-3f6f-4cd6-86eb-9ac6d0b4f415,INV-dbc35bfd-179f-44eb-acea-17e3ce8a597a,CID-001,2025-12-03,1167.92,MC,USD,SampleGen
3c10fff7-7472-41a3-8e03-05674f3753cf,INV-f08c0a1e-468d-402b-a3b2-068666b93a7e,CID-001,2025-12-07,3862.38,MC,USD,SampleGen
07d883fa-ff01-453c-8be9-e41bfeb8580d,INV-4214d215-87a5-4f6c-be7e-9f4d0d3131f1,CID-001,2025-12-02,1761.48,MC,USD,SampleGen
f29be64a-b6a3-4e7c-ad00-e13b3f0f30ee,INV-ef91219a-c305-4492-aa2a-5b7692eebae2,CID-001,2026-01-24,184.38,VISA,USD,SampleGen
68af6286-9413-4b72-b2d9-562bf2cc77d6,INV-3edc8425-6629-4e1b-8372-e92a1a25d910,CID-001,2026-01-14,3094.98,AmEx,USD,SampleGen
