OrderId,OrderLineNumber,ProductId,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
46542412-c311-474e-b60c-232244028ed1,1,2091,Spatula,2,25.98,51.96,0.0,3.12
46542412-c311-474e-b60c-232244028ed1,2,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
1e10906d-e05d-463b-83bb-4f78b8a8c129,1,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
1e10906d-e05d-463b-83bb-4f78b8a8c129,2,2121,Bamboo Cutting Board Set,2,91.98,183.96,0.0,11.04
1e10906d-e05d-463b-83bb-4f78b8a8c129,3,2012,Espresso Machine,3,851.98,2555.94,0.0,153.36
1e10906d-e05d-463b-83bb-4f78b8a8c129,4,2031,Coffee Mug,2,65.98,131.96,0.0,7.92
66541c50-5940-4aa4-9c9f-d850c0990def,1,2011,Coffee Maker,4,379.98,1519.92,0.0,91.2
66541c50-5940-4aa4-9c9f-d850c0990def,2,2021,Chef Knife,3,179.98,539.94,0.0,32.4
66541c50-5940-4aa4-9c9f-d850c0990def,3,2041,Serving Platter,2,135.98,271.96,0.0,16.32
509c9256-8e8d-4b0b-863a-c50015859515,1,2091,Spatula,3,25.98,77.94,0.0,4.68
509c9256-8e8d-4b0b-863a-c50015859515,2,2021,Chef Knife,4,179.98,719.92,0.0,43.2
509c9256-8e8d-4b0b-863a-c50015859515,3,2022,Fork Set,2,91.98,183.96,0.0,11.04
e2970d46-60a2-4067-bc71-c81165040fa7,1,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
e2970d46-60a2-4067-bc71-c81165040fa7,2,2041,Serving Platter,3,135.98,407.94,0.0,24.48
e2970d46-60a2-4067-bc71-c81165040fa7,3,2041,Serving Platter,4,135.98,543.92,0.0,32.64
14e4e31b-e04f-4efe-bbb7-57a69ca86dcb,1,2071,Baking Pan,4,57.98,231.92,0.0,13.92
14e4e31b-e04f-4efe-bbb7-57a69ca86dcb,2,2101,Measuring Cup Set,4,39.98,159.92,0.0,9.6
14e4e31b-e04f-4efe-bbb7-57a69ca86dcb,3,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
0bff9ca9-e980-4662-a36e-8b9212e0cc1a,1,2051,Ice Cream Bowl,3,49.98,149.94,0.0,9.0
0bff9ca9-e980-4662-a36e-8b9212e0cc1a,2,2022,Fork Set,2,91.98,183.96,0.0,11.04
0bff9ca9-e980-4662-a36e-8b9212e0cc1a,3,2021,Chef Knife,2,179.98,359.96,0.0,21.6
0bff9ca9-e980-4662-a36e-8b9212e0cc1a,4,2121,Bamboo Cutting Board Set,3,91.98,275.94,0.0,16.56
1e697e14-1d6f-4bd3-ba44-799f27290fbb,1,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
1e697e14-1d6f-4bd3-ba44-799f27290fbb,2,2051,Ice Cream Bowl,3,49.98,149.94,0.0,9.0
642aa4e8-9d98-4144-a027-7d5f9b4579e0,1,2021,Chef Knife,3,179.98,539.94,0.0,32.4
642aa4e8-9d98-4144-a027-7d5f9b4579e0,2,2061,Mixing Bowl,4,79.98,319.92,0.0,19.2
5ce93a9a-9199-42fd-b471-26a6f8eaf018,1,2091,Spatula,3,25.98,77.94,0.0,4.68
5ce93a9a-9199-42fd-b471-26a6f8eaf018,2,2061,Mixing Bowl,4,79.98,319.92,0.0,19.2
5ce93a9a-9199-42fd-b471-26a6f8eaf018,3,2081,Food Storage Set,4,69.98,279.92,0.0,16.8
5ce93a9a-9199-42fd-b471-26a6f8eaf018,4,2031,Coffee Mug,2,65.98,131.96,0.0,7.92
6d54c741-c391-42dd-81bf-edc18eb1f0d0,1,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
6d54c741-c391-42dd-81bf-edc18eb1f0d0,2,2061,Mixing Bowl,4,79.98,319.92,0.0,19.2
ff459178-9f2f-411a-95f9-6f613d9f4826,1,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
ff459178-9f2f-411a-95f9-6f613d9f4826,2,2031,Coffee Mug,3,65.98,197.94,0.0,11.88
9f1d0d6c-4b64-4811-97f1-1e519d8ad234,1,2121,Bamboo Cutting Board Set,2,91.98,183.96,0.0,11.04
9f1d0d6c-4b64-4811-97f1-1e519d8ad234,2,2041,Serving Platter,2,135.98,271.96,0.0,16.32
9f1d0d6c-4b64-4811-97f1-1e519d8ad234,3,2112,4-Slice Toaster,3,179.98,539.94,0.0,32.4
9f1d0d6c-4b64-4811-97f1-1e519d8ad234,4,2081,Food Storage Set,4,69.98,279.92,0.0,16.8
273890a0-12e8-40d1-9ec2-5acc107c159a,1,2081,Food Storage Set,3,69.98,209.94,0.0,12.6
273890a0-12e8-40d1-9ec2-5acc107c159a,2,2071,Baking Pan,4,57.98,231.92,0.0,13.92
273890a0-12e8-40d1-9ec2-5acc107c159a,3,2041,Serving Platter,4,135.98,543.92,0.0,32.64
273890a0-12e8-40d1-9ec2-5acc107c159a,4,2041,Serving Platter,2,135.98,271.96,0.0,16.32
bf79c9e1-3170-4376-ab0b-23f91497837b,1,2021,Chef Knife,4,179.98,719.92,0.0,43.2
bf79c9e1-3170-4376-ab0b-23f91497837b,2,2041,Serving Platter,2,135.98,271.96,0.0,16.32
a856f924-e080-4090-9eef-757f1b5e0e63,1,2112,4-Slice Toaster,4,179.98,719.92,0.0,43.2
a856f924-e080-4090-9eef-757f1b5e0e63,2,2111,High-Speed Blender,3,399.98,1199.94,0.0,72.0
a856f924-e080-4090-9eef-757f1b5e0e63,3,2111,High-Speed Blender,4,399.98,1599.92,0.0,96.0
a856f924-e080-4090-9eef-757f1b5e0e63,4,2061,Mixing Bowl,4,79.98,319.92,0.0,19.2
0650095a-f84e-4b22-a792-351c2adb5ad0,1,2071,Baking Pan,4,57.98,231.92,0.0,13.92
0650095a-f84e-4b22-a792-351c2adb5ad0,2,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
0650095a-f84e-4b22-a792-351c2adb5ad0,3,2101,Measuring Cup Set,2,39.98,79.96,0.0,4.8
0650095a-f84e-4b22-a792-351c2adb5ad0,4,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
45b79429-4612-4c8b-90f1-935ecdf1a014,1,2061,Mixing Bowl,2,79.98,159.96,0.0,9.6
45b79429-4612-4c8b-90f1-935ecdf1a014,2,2021,Chef Knife,3,179.98,539.94,0.0,32.4
45b79429-4612-4c8b-90f1-935ecdf1a014,3,2021,Chef Knife,2,179.98,359.96,0.0,21.6
45b79429-4612-4c8b-90f1-935ecdf1a014,4,2061,Mixing Bowl,3,79.98,239.94,0.0,14.4
6d31be20-7bf8-4f1d-b96f-f5f378092215,1,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
6d31be20-7bf8-4f1d-b96f-f5f378092215,2,2061,Mixing Bowl,4,79.98,319.92,0.0,19.2
244be0dc-df7a-4b9a-ad3f-f6110309a464,1,2091,Spatula,4,25.98,103.92,0.0,6.24
244be0dc-df7a-4b9a-ad3f-f6110309a464,2,2021,Chef Knife,4,179.98,719.92,0.0,43.2
244be0dc-df7a-4b9a-ad3f-f6110309a464,3,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
21e83692-a5f9-40f1-aa76-6b13009c2edf,1,2041,Serving Platter,2,135.98,271.96,0.0,16.32
21e83692-a5f9-40f1-aa76-6b13009c2edf,2,2021,Chef Knife,4,179.98,719.92,0.0,43.2
21e83692-a5f9-40f1-aa76-6b13009c2edf,3,2071,Baking Pan,3,57.98,173.94,0.0,10.44
21e83692-a5f9-40f1-aa76-6b13009c2edf,4,2071,Baking Pan,3,57.98,173.94,0.0,10.44
7dba85f9-e331-40c0-b782-90b42fb51a0b,1,2041,Serving Platter,4,135.98,543.92,0.0,32.64
7dba85f9-e331-40c0-b782-90b42fb51a0b,2,2011,Coffee Maker,4,379.98,1519.92,0.0,91.2
7dba85f9-e331-40c0-b782-90b42fb51a0b,3,2022,Fork Set,2,91.98,183.96,0.0,11.04
0ac8d659-3d23-4dc6-a25d-56d33307fb03,1,2021,Chef Knife,4,179.98,719.92,0.0,43.2
0ac8d659-3d23-4dc6-a25d-56d33307fb03,2,2071,Baking Pan,4,57.98,231.92,0.0,13.92
0ac8d659-3d23-4dc6-a25d-56d33307fb03,3,2051,Ice Cream Bowl,3,49.98,149.94,0.0,9.0
f41fd59a-44eb-47f0-9216-f3280f493c8e,1,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
f41fd59a-44eb-47f0-9216-f3280f493c8e,2,2031,Coffee Mug,2,65.98,131.96,0.0,7.92
f41fd59a-44eb-47f0-9216-f3280f493c8e,3,2012,Espresso Machine,3,851.98,2555.94,0.0,153.36
f41fd59a-44eb-47f0-9216-f3280f493c8e,4,2012,Espresso Machine,2,851.98,1703.96,0.0,102.24
5eb24f6e-eb9b-4dfc-9906-9ca753d95d5a,1,2021,Chef Knife,3,179.98,539.94,0.0,32.4
5eb24f6e-eb9b-4dfc-9906-9ca753d95d5a,2,2111,High-Speed Blender,4,399.98,1599.92,0.0,96.0
5eb24f6e-eb9b-4dfc-9906-9ca753d95d5a,3,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
a0824d01-6673-42c1-a82e-22068286957b,1,2022,Fork Set,2,91.98,183.96,0.0,11.04
a0824d01-6673-42c1-a82e-22068286957b,2,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
a0824d01-6673-42c1-a82e-22068286957b,3,2022,Fork Set,2,91.98,183.96,0.0,11.04
a0824d01-6673-42c1-a82e-22068286957b,4,2061,Mixing Bowl,4,79.98,319.92,0.0,19.2
2928ddae-bf27-45ab-ba5a-552e434de2f5,1,2071,Baking Pan,3,57.98,173.94,0.0,10.44
a756cfb4-14c6-4924-bec1-f3a5eac5aa32,1,2071,Baking Pan,2,57.98,115.96,0.0,6.96
a756cfb4-14c6-4924-bec1-f3a5eac5aa32,2,2011,Coffee Maker,1,379.98,379.98,0.0,22.8
a756cfb4-14c6-4924-bec1-f3a5eac5aa32,3,2012,Espresso Machine,3,851.98,2555.94,0.0,153.36
a58a87e1-a209-4774-854b-b32910a83d6a,1,2021,Chef Knife,1,179.98,179.98,0.0,10.8
a784ef80-6113-48a5-bebb-3d7160b6949f,1,2021,Chef Knife,3,179.98,539.94,0.0,32.4
a784ef80-6113-48a5-bebb-3d7160b6949f,2,2012,Espresso Machine,3,851.98,2555.94,0.0,153.36
a784ef80-6113-48a5-bebb-3d7160b6949f,3,2031,Coffee Mug,4,65.98,263.92,0.0,15.84
ab1062bb-cefa-41d4-9067-60ac400c72af,1,2071,Baking Pan,2,57.98,115.96,0.0,6.96
ab1062bb-cefa-41d4-9067-60ac400c72af,2,2022,Fork Set,4,91.98,367.92,0.0,22.08
ab1062bb-cefa-41d4-9067-60ac400c72af,3,2031,Coffee Mug,2,65.98,131.96,0.0,7.92
ab1062bb-cefa-41d4-9067-60ac400c72af,4,2041,Serving Platter,4,135.98,543.92,0.0,32.64
7bf360c5-90a9-4076-88f5-12e95f39746a,1,2061,Mixing Bowl,3,79.98,239.94,0.0,14.4
7bf360c5-90a9-4076-88f5-12e95f39746a,2,2111,High-Speed Blender,4,399.98,1599.92,0.0,96.0
7bf360c5-90a9-4076-88f5-12e95f39746a,3,2111,High-Speed Blender,4,399.98,1599.92,0.0,96.0
d9a8dc17-2644-4374-987a-b551653c02c5,1,2041,Serving Platter,3,135.98,407.94,0.0,24.48
d9a8dc17-2644-4374-987a-b551653c02c5,2,2041,Serving Platter,2,135.98,271.96,0.0,16.32
d9a8dc17-2644-4374-987a-b551653c02c5,3,2021,Chef Knife,3,179.98,539.94,0.0,32.4
77ed7b3b-0431-4121-9f32-2b515386f9a9,1,2022,Fork Set,2,91.98,183.96,0.0,11.04
77ed7b3b-0431-4121-9f32-2b515386f9a9,2,2112,4-Slice Toaster,2,179.98,359.96,0.0,21.6
77ed7b3b-0431-4121-9f32-2b515386f9a9,3,2021,Chef Knife,3,179.98,539.94,0.0,32.4
bbb10738-74fd-4008-a4f3-3d92d6f798e8,1,2011,Coffee Maker,3,379.98,1139.94,0.0,68.4
bbb10738-74fd-4008-a4f3-3d92d6f798e8,2,2011,Coffee Maker,4,379.98,1519.92,0.0,91.2
bbb10738-74fd-4008-a4f3-3d92d6f798e8,3,2021,Chef Knife,2,179.98,359.96,0.0,21.6
e0f4d972-d42a-4f15-872e-ec20bcab49dc,1,2011,Coffee Maker,4,379.98,1519.92,0.0,91.2
e0f4d972-d42a-4f15-872e-ec20bcab49dc,2,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
653b4bb7-f50a-47cf-a349-ac365c96f931,1,2022,Fork Set,4,91.98,367.92,0.0,22.08
653b4bb7-f50a-47cf-a349-ac365c96f931,2,2012,Espresso Machine,4,851.98,3407.92,0.0,204.48
7abd5767-838a-4978-ae6f-1733f70d6321,1,2041,Serving Platter,3,135.98,407.94,0.0,24.48
7abd5767-838a-4978-ae6f-1733f70d6321,2,2011,Coffee Maker,2,379.98,759.96,0.0,45.6
