InvoiceId,InvoiceNumber,CustomerId,OrderId,InvoiceDate,DueDate,SubTotal,TaxAmount,TotalAmount,InvoiceStatus,CreatedBy
INV-85ee5f32-51b1-4610-8c7b-60c8732aea87,IS300000,CID-001,85ee5f32-51b1-4610-8c7b-60c8732aea87,2026-03-14,2026-04-13,79.99,7.0,86.99,Paid,SampleGen
INV-00acc02d-1f2b-438a-9ed7-9339560bddc7,IS300001,CID-001,00acc02d-1f2b-438a-9ed7-9339560bddc7,2025-08-26,2025-09-25,399.99,35.0,434.99,Paid,SampleGen
INV-77986650-9d75-4d76-9dd0-f728ad0056b9,IS300002,CID-001,77986650-9d75-4d76-9dd0-f728ad0056b9,2025-01-22,2025-02-21,2029.95,177.61,2207.56,Paid,SampleGen
INV-72f33f2f-4df5-4854-99ee-09cdf7026afe,IS300003,CID-002,72f33f2f-4df5-4854-99ee-09cdf7026afe,2025-02-25,2025-03-27,1619.95,141.75,1761.7,Paid,SampleGen
INV-9f91d933-0529-42bb-b519-2d76ecfc4eec,IS300004,CID-003,9f91d933-0529-42bb-b519-2d76ecfc4eec,2025-12-17,2026-01-16,4549.93,398.12,4948.05,Paid,SampleGen
INV-08ac16df-3b29-425a-b1b1-e1e98ac5ca8e,IS300005,CID-003,08ac16df-3b29-425a-b1b1-e1e98ac5ca8e,2025-03-29,2025-04-28,619.97,54.25,674.22,Paid,SampleGen
INV-791d69df-e9fc-49de-ad89-7a05c2c541f8,IS300006,CID-003,791d69df-e9fc-49de-ad89-7a05c2c541f8,2025-02-20,2025-03-22,1799.98,157.5,1957.48,Paid,SampleGen
INV-f4ff66ce-2ed7-470c-8003-14bfa879acdc,IS300007,CID-004,f4ff66ce-2ed7-470c-8003-14bfa879acdc,2025-12-06,2026-01-05,1779.94,155.75,1935.69,Paid,SampleGen
INV-457e70af-e7b5-49d4-b1b5-9c3ad31a3d15,IS300008,CID-004,457e70af-e7b5-49d4-b1b5-9c3ad31a3d15,2025-01-13,2025-02-12,1299.99,113.75,1413.74,Paid,SampleGen
INV-a1766c5a-edd6-4fb1-bbc1-38ecce5eb1b3,IS300009,CID-005,a1766c5a-edd6-4fb1-bbc1-38ecce5eb1b3,2025-02-02,2025-03-04,1649.96,144.37,1794.33,Paid,SampleGen
INV-937466e1-784b-453b-bd1f-507e48d4681c,IS300010,CID-005,937466e1-784b-453b-bd1f-507e48d4681c,2025-04-10,2025-05-10,1339.94,117.25,1457.19,Paid,SampleGen
INV-cb64dd3c-b341-4688-9550-d973b7fe4f4a,IS300011,CID-005,cb64dd3c-b341-4688-9550-d973b7fe4f4a,2025-09-18,2025-10-18,119.99,10.5,130.49,Paid,SampleGen
INV-e08b9faa-1afb-45ee-b07f-7747f63ffc9a,IS300012,CID-006,e08b9faa-1afb-45ee-b07f-7747f63ffc9a,2025-01-12,2025-02-11,559.97,49.0,608.97,Paid,SampleGen
INV-ee6eaa37-fce0-4bbb-8a63-a83052ce8948,IS300013,CID-006,ee6eaa37-fce0-4bbb-8a63-a83052ce8948,2026-01-01,2026-01-31,499.98,43.75,543.73,Paid,SampleGen
INV-dcdad5bf-99e0-47df-bf3c-d4c1c62ecbd8,IS300014,CID-006,dcdad5bf-99e0-47df-bf3c-d4c1c62ecbd8,2025-05-16,2025-06-15,1159.98,101.5,1261.48,Paid,SampleGen
INV-af763689-c213-4162-9ed2-83a7e348ed0c,IS300015,CID-006,af763689-c213-4162-9ed2-83a7e348ed0c,2025-08-19,2025-09-18,549.96,48.12,598.08,Paid,SampleGen
INV-4d77e2c1-d0ce-4cc2-8a8f-761bbc2afaab,IS300016,CID-006,4d77e2c1-d0ce-4cc2-8a8f-761bbc2afaab,2026-02-21,2026-03-23,4299.95,376.25,4676.2,Paid,SampleGen
INV-6c16173f-43b7-48b0-b9ca-3c664686c523,IS300017,CID-006,6c16173f-43b7-48b0-b9ca-3c664686c523,2025-06-23,2025-07-23,1349.97,118.12,1468.09,Paid,SampleGen
INV-8831f934-a66b-4d27-a7c3-6ad0941082f8,IS300018,CID-006,8831f934-a66b-4d27-a7c3-6ad0941082f8,2026-02-05,2026-03-07,1749.97,153.12,1903.09,Paid,SampleGen
INV-cdb13113-702d-4968-886b-df756545b1f6,IS300019,CID-007,cdb13113-702d-4968-886b-df756545b1f6,2026-02-09,2026-03-11,1249.97,109.37,1359.34,Paid,SampleGen
INV-c5f0d76b-c6d9-4f8a-a5b7-8d2840b7718b,IS300020,CID-007,c5f0d76b-c6d9-4f8a-a5b7-8d2840b7718b,2025-02-15,2025-03-17,3699.94,323.75,4023.69,Paid,SampleGen
INV-2486def4-fade-43cc-9aae-5056dd5b7cca,IS300021,CID-008,2486def4-fade-43cc-9aae-5056dd5b7cca,2025-03-01,2025-03-31,1049.98,91.87,1141.85,Paid,SampleGen
INV-51c79045-dd86-4a29-afd5-963df794be3d,IS300022,CID-008,51c79045-dd86-4a29-afd5-963df794be3d,2026-01-03,2026-02-02,1799.98,157.5,1957.48,Paid,SampleGen
INV-f37cb11a-05c4-4328-acfe-d9e181ea64b1,IS300023,CID-009,f37cb11a-05c4-4328-acfe-d9e181ea64b1,2026-02-21,2026-03-23,1799.93,157.5,1957.43,Paid,SampleGen
INV-4f3bb579-bc1b-404d-8750-c5f3ba9c6ff0,IS300024,CID-009,4f3bb579-bc1b-404d-8750-c5f3ba9c6ff0,2025-10-21,2025-11-20,3099.96,271.25,3371.21,Paid,SampleGen
INV-14d2cd77-69bd-4727-a980-8f7211a7dd5b,IS300025,CID-010,14d2cd77-69bd-4727-a980-8f7211a7dd5b,2026-03-28,2026-04-27,759.96,66.5,826.46,Paid,SampleGen
INV-d42b9d74-8f54-4a4f-88c2-0bcfe52c6af9,IS300026,CID-010,d42b9d74-8f54-4a4f-88c2-0bcfe52c6af9,2025-10-05,2025-11-04,769.95,67.37,837.32,Paid,SampleGen
INV-920f6da5-3ead-4c50-81b0-690fba4cba5e,IS300027,CID-010,920f6da5-3ead-4c50-81b0-690fba4cba5e,2025-11-26,2025-12-26,1489.93,130.37,1620.3,Paid,SampleGen
INV-3e2583d2-555e-4399-9f8c-143836cc4e79,IS300028,CID-010,3e2583d2-555e-4399-9f8c-143836cc4e79,2025-05-25,2025-06-24,439.95,38.5,478.45,Paid,SampleGen
